Tournament,Date,Participation,Winner,Runner-up,Final Score,Overview_Serve_Ace %_Winner,Overview_Serve_Ace %_Runner-up,Overview_Serve_Double Fault %_Winner,Overview_Serve_Double Fault %_Runner-up,Overview_Serve_1st Serve %_Winner,Overview_Serve_1st Serve %_Runner-up,Overview_Serve_1st Serve Won %_Winner,Overview_Serve_1st Serve Won %_Runner-up,Overview_Serve_2nd Serve Won %_Winner,Overview_Serve_2nd Serve Won %_Runner-up,Overview_Serve_Break Points Saved %_Winner,Overview_Serve_Break Points Saved %_Runner-up,Overview_Serve_Service Points Won %_Winner,Overview_Serve_Service Points Won %_Runner-up,Overview_Return_1st Srv. Return Won %_Winner,Overview_Return_1st Srv. Return Won %_Runner-up,Overview_Return_2nd Srv. Return Won %_Winner,Overview_Return_2nd Srv. Return Won %_Runner-up,Overview_Return_Break Points Won %_Winner,Overview_Return_Break Points Won %_Runner-up,Overview_Return_Return Points Won %_Winner,Overview_Return_Return Points Won %_Runner-up,Overview_Total_Points Dominance_Winner,Overview_Total_Total Points Won %_Winner,Overview_Total_Total Points Won %_Runner-up,Overview_Total_Match Time_Winner,AcesDFs_Aces_Aces_Winner,AcesDFs_Aces_Ace %_Winner,AcesDFs_Aces_Ace %_Runner-up,AcesDFs_Aces_Aces per Svc. Game_Winner,AcesDFs_Aces_Aces per Svc. Game_Runner-up,AcesDFs_Aces_Aces per Set_Winner,AcesDFs_Aces_Aces per Set_Runner-up,AcesDFs_Double Faults_Double Faults_Winner,AcesDFs_Double Faults_Double Fault %_Winner,AcesDFs_Double Faults_Double Fault %_Runner-up,AcesDFs_Double Faults_DFs per 2nd Serve %_Winner,AcesDFs_Double Faults_DFs per 2nd Serve %_Runner-up,AcesDFs_Double Faults_DFs per Svc. Game_Winner,AcesDFs_Double Faults_DFs per Svc. Game_Runner-up,AcesDFs_Double Faults_DFs per Set_Winner,AcesDFs_Double Faults_DFs per Set_Runner-up,AcesDFs_Other_Aces / DFs Ratio_Winner,AcesDFs_Other_Aces / DFs Ratio_Runner-up,Serve_Serve_1st Serve %_Winner,Serve_Serve_1st Serve %_Runner-up,Serve_Serve_1st Serve Won %_Winner,Serve_Serve_1st Serve Won %_Runner-up,Serve_Serve_2nd Serve Won %_Winner,Serve_Serve_2nd Serve Won %_Runner-up,Serve_Serve_1st Serve Effectiveness_Winner,Serve_Serve_Serve Rating_Winner,Serve_Points_Service Points Won %_Winner,Serve_Points_Service Points Won %_Runner-up,Serve_Points_Svc. In-play Pts. Won %_Winner,Serve_Points_Svc. In-play Pts. Won %_Runner-up,Serve_Points_Points per Service Game_Winner,Serve_Points_Points per Service Game_Runner-up,Serve_Points_Pts. Lost per Svc. Game_Winner,Serve_Points_Pts. Lost per Svc. Game_Runner-up,Serve_Points_Break Points Saved %_Winner,Serve_Points_Break Points Saved %_Runner-up,Serve_Points_BPs per Svc. Game_Winner,Serve_Points_BPs per Svc. Game_Runner-up,Serve_Points_BPs Faced per Set_Winner,Serve_Points_BPs Faced per Set_Runner-up,Serve_Games_Service Games Won %_Winner,Serve_Games_Service Games Won %_Runner-up,Serve_Games_Svc. Gms. Lost per Set_Winner,Serve_Games_Svc. Gms. Lost per Set_Runner-up,Return_Return_1st Srv. Return Won %_Winner,Return_Return_1st Srv. Return Won %_Runner-up,Return_Return_2nd Srv. Return Won %_Winner,Return_Return_2nd Srv. Return Won %_Runner-up,Return_Return_Return Rating_Winner,Return_Points_Return Points Won %_Winner,Return_Points_Return Points Won %_Runner-up,Return_Points_Rtn. In-play Pts. Won %_Winner,Return_Points_Rtn. In-play Pts. Won %_Runner-up,Return_Points_Points per Return Game_Winner,Return_Points_Points per Return Game_Runner-up,Return_Points_Pts. Won per Rtn. Game_Winner,Return_Points_Pts. Won per Rtn. Game_Runner-up,Return_Points_Break Points Won %_Winner,Return_Points_Break Points Won %_Runner-up,Return_Points_BPs per Return Game_Winner,Return_Points_BPs per Return Game_Runner-up,Return_Points_BPs per Set_Winner,Return_Points_BPs per Set_Runner-up,Return_Games_Return Games Won %_Winner,Return_Games_Return Games Won %_Runner-up,Return_Games_Rtn. Gms. Won per Set_Winner,Return_Games_Rtn. Gms. Won per Set_Runner-up,Total_Points & Games_Total Points Played_Winner,Total_Points & Games_Total Points Won_Winner,Total_Points & Games_Total Points Won %_Winner,Total_Points & Games_Total Points Won %_Runner-up,Total_Points & Games_Rtn. to Svc. Points Ratio_Winner,Total_Points & Games_Rtn. to Svc. Points Ratio_Runner-up,Total_Points & Games_Total Games Played_Winner,Total_Points & Games_Total Games Won_Winner,Total_Points & Games_Games Won %_Winner,Total_Points & Games_Games Won %_Runner-up,Total_Dominance_Points Dominance_Winner,Total_Dominance_Games Dominance_Winner,Total_Dominance_Break Points Ratio_Winner,Total_Time_Point Time (seconds)_Winner,Total_Time_Game Time (minutes)_Winner,Total_Time_Set Time (minutes)_Winner,Total_Time_Match Time_Winner
Roland Garros 2010,24-05-2010,86.8%,Rafael Nadal,Robin Soderling,6-4 6-2 6-4,7 / 90,7 / 91,1 / 90,4 / 91,69 / 90,51 / 91,51 / 69,33 / 51,13 / 21,22 / 40,8 / 8,8 / 12,64 / 90,55 / 91,18 / 51,18 / 69,18 / 40,8 / 21,4 / 12,0 / 8,36 / 91,26 / 90,0.73,100 / 181,81 / 181,2:18,7,7 / 90,7 / 91,7 / 14,7 / 14,7 / 3,7 / 3,4,1 / 90,4 / 91,1 / 21,4 / 40,1 / 14,4 / 14,1 / 3,4 / 3,7 / 1,7 / 4,69 / 90,51 / 91,51 / 69,33 / 51,13 / 21,22 / 40,1.18,317,64 / 90,55 / 91,57 / 82,48 / 80,90 / 14,91 / 14,26 / 14,36 / 14,8 / 8,8 / 12,8 / 14,12 / 14,8 / 3,12 / 3,14 / 14,10 / 14,0 / 3,4 / 3,18 / 51,18 / 69,18 / 40,8 / 21,64,36 / 91,26 / 90,32.0 / 80.0,25.0 / 82.0,91 / 14,90 / 14,36 / 14,26 / 14,4 / 12,0 / 8,12 / 14,8 / 14,12 / 3,8 / 3,4 / 14,0 / 14,4 / 3,0 / 3,181,81,100 / 181,81 / 181,91 / 90,90 / 91,28,10,18 / 28,10 / 28,0.73,0.00,0.00,45.7,4.93,46.0,2:18
Roland Garros 2009,25-05-2009,94.1%,Roger Federer,Robin Soderling,6-1 7-6(1) 6-4,16 / 79,2 / 91,2 / 79,3 / 91,52 / 79,55 / 91,44 / 52,35 / 55,18 / 27,20 / 36,2 / 2,2 / 6,62 / 79,55 / 91,20 / 55,8 / 52,16 / 36,9 / 27,4 / 6,0 / 2,36 / 91,17 / 79,0.54,98 / 170,72 / 170,1:55,2,16 / 79,2 / 91,16 / 14,2 / 15,16 / 3,2 / 3,3,2 / 79,3 / 91,2 / 27,3 / 36,2 / 14,3 / 15,2 / 3,3 / 3,16 / 2,2 / 3,52 / 79,55 / 91,44 / 52,35 / 55,18 / 27,20 / 36,1.15,285,62 / 79,55 / 91,46 / 61,53 / 86,79 / 14,91 / 15,17 / 14,36 / 15,2 / 2,2 / 6,2 / 14,6 / 15,2 / 3,6 / 3,14 / 14,11 / 15,0 / 3,4 / 3,20 / 55,8 / 52,16 / 36,9 / 27,49,36 / 91,17 / 79,33.0 / 86.0,15.0 / 61.0,91 / 15,79 / 14,36 / 15,17 / 14,4 / 6,0 / 2,6 / 15,2 / 14,6 / 3,2 / 3,4 / 15,0 / 14,4 / 3,0 / 3,170,72,98 / 170,72 / 170,91 / 79,79 / 91,29,11,18 / 29,11 / 29,0.54,0.00,0.00,40.6,3.97,38.3,1:55
Roland Garros 2008,25-05-2008,88.1%,Rafael Nadal,Roger Federer,6-1 6-3 6-0,0 / 67,2 / 77,0 / 67,0 / 77,50 / 67,53 / 77,35 / 50,26 / 53,11 / 17,5 / 24,3 / 4,9 / 17,46 / 67,31 / 77,27 / 53,15 / 50,19 / 24,6 / 17,8 / 17,1 / 4,46 / 77,21 / 67,0.52,92 / 144,52 / 144,1:48,2,0 / 67,2 / 77,0 / 11,2 / 11,0 / 3,2 / 3,0,0 / 67,0 / 77,0 / 17,0 / 24,0 / 11,0 / 11,0 / 3,0 / 3,0 / 0,2 / 0,50 / 67,53 / 77,35 / 50,26 / 53,11 / 17,5 / 24,2.35,222,46 / 67,31 / 77,46 / 67,29 / 75,67 / 11,77 / 11,21 / 11,46 / 11,3 / 4,9 / 17,4 / 11,17 / 11,4 / 3,17 / 3,10 / 11,3 / 11,1 / 3,8 / 3,27 / 53,15 / 50,19 / 24,6 / 17,99,46 / 77,21 / 67,46.0 / 75.0,21.0 / 67.0,77 / 11,67 / 11,46 / 11,21 / 11,8 / 17,1 / 4,17 / 11,4 / 11,17 / 3,4 / 3,8 / 11,1 / 11,8 / 3,1 / 3,144,52,92 / 144,52 / 144,77 / 67,67 / 77,22,4,18 / 22,4 / 22,0.52,0.13,0.53,45.0,4.91,36.0,1:48
Roland Garros 2007,28-05-2007,90.3%,Rafael Nadal,Roger Federer,6-3 4-6 6-3 6-4,2 / 137,9 / 118,1 / 137,1 / 118,106 / 137,76 / 118,74 / 106,50 / 76,17 / 31,23 / 42,16 / 17,6 / 10,91 / 137,73 / 118,26 / 76,32 / 106,19 / 42,14 / 31,4 / 10,1 / 17,45 / 118,46 / 137,0.88,136 / 255,119 / 255,3:10,9,2 / 137,9 / 118,2 / 19,9 / 19,2 / 4,9 / 4,1,1 / 137,1 / 118,1 / 31,1 / 42,1 / 19,1 / 19,1 / 4,1 / 4,2 / 1,9 / 1,106 / 137,76 / 118,74 / 106,50 / 76,17 / 31,23 / 42,1.20,331,91 / 137,73 / 118,89 / 134,64 / 108,137 / 19,118 / 19,46 / 19,45 / 19,16 / 17,6 / 10,17 / 19,10 / 19,17 / 4,10 / 4,18 / 19,15 / 19,1 / 4,4 / 4,26 / 76,32 / 106,19 / 42,14 / 31,86,45 / 118,46 / 137,44.0 / 108.0,45.0 / 134.0,118 / 19,137 / 19,45 / 19,46 / 19,4 / 10,1 / 17,10 / 19,17 / 19,10 / 4,17 / 4,4 / 19,1 / 19,4 / 4,1 / 4,255,119,136 / 255,119 / 255,118 / 137,137 / 118,38,16,22 / 38,16 / 38,0.88,0.25,0.15,44.7,5.00,47.5,3:10
Roland Garros 2006,29-05-2006,94.0%,Rafael Nadal,Roger Federer,1-6 6-1 6-4 7-6(4),3 / 111,8 / 119,0 / 111,1 / 119,85 / 111,72 / 119,59 / 85,49 / 72,17 / 26,25 / 47,7 / 10,8 / 12,76 / 111,74 / 119,23 / 72,26 / 85,22 / 47,9 / 26,4 / 12,3 / 10,45 / 119,35 / 111,0.83,121 / 230,109 / 230,3:02,8,3 / 111,8 / 119,3 / 18,8 / 18,3 / 4,8 / 4,1,0 / 111,1 / 119,0 / 26,1 / 47,0 / 18,1 / 18,0 / 4,1 / 4,3 / 0,8 / 1,85 / 111,72 / 119,59 / 85,49 / 72,17 / 26,25 / 47,1.28,332,76 / 111,74 / 119,73 / 108,66 / 110,111 / 18,119 / 18,35 / 18,45 / 18,7 / 10,8 / 12,10 / 18,12 / 18,10 / 4,12 / 4,15 / 18,14 / 18,3 / 4,4 / 4,23 / 72,26 / 85,22 / 47,9 / 26,112,45 / 119,35 / 111,44.0 / 110.0,35.0 / 108.0,119 / 18,111 / 18,45 / 18,35 / 18,4 / 12,3 / 10,12 / 18,10 / 18,12 / 4,10 / 4,4 / 18,3 / 18,4 / 4,3 / 4,230,109,121 / 230,109 / 230,119 / 111,111 / 119,36,17,19 / 36,17 / 36,0.83,0.75,0.90,47.5,5.06,45.5,3:02
Roland Garros 2005,23-05-2005,90.3%,Rafael Nadal,Mariano,6-7(6) 6-3 6-1 7-5,7 / 137,4 / 137,3 / 137,2 / 137,108 / 137,83 / 137,73 / 108,53 / 83,12 / 29,23 / 54,11 / 14,10 / 18,85 / 137,76 / 137,30 / 83,35 / 108,31 / 54,17 / 29,8 / 18,3 / 14,61 / 137,52 / 137,0.85,146 / 274,128 / 274,3:24,4,7 / 137,4 / 137,7 / 20,4 / 20,7 / 4,4 / 4,2,3 / 137,2 / 137,3 / 29,2 / 54,3 / 20,2 / 20,3 / 4,2 / 4,7 / 3,4 / 2,108 / 137,83 / 137,73 / 108,53 / 83,12 / 29,23 / 54,1.50,284,85 / 137,76 / 137,78 / 127,72 / 131,137 / 20,137 / 20,52 / 20,61 / 20,11 / 14,10 / 18,14 / 20,18 / 20,14 / 4,18 / 4,17 / 20,12 / 20,3 / 4,8 / 4,30 / 83,35 / 108,31 / 54,17 / 29,127,61 / 137,52 / 137,59.0 / 131.0,49.0 / 127.0,137 / 20,137 / 20,61 / 20,52 / 20,8 / 18,3 / 14,18 / 20,14 / 20,18 / 4,14 / 4,8 / 20,3 / 20,8 / 4,3 / 4,274,128,146 / 274,128 / 274,137 / 137,137 / 137,40,15,25 / 40,15 / 40,0.85,0.38,0.48,44.7,5.10,51.0,3:24
Roland Garros 2004,24-05-2004,92.8%,Gaston,Guillermo Coria,0-6 3-6 6-4 6-1 8-6,2 / 149,5 / 136,9 / 149,6 / 136,99 / 149,89 / 136,57 / 99,46 / 89,23 / 50,22 / 47,12 / 23,4 / 15,80 / 149,68 / 136,43 / 89,42 / 99,25 / 47,27 / 50,11 / 15,11 / 23,68 / 136,69 / 149,0.93,148 / 285,137 / 285,3:31,5,2 / 149,5 / 136,2 / 23,5 / 23,2 / 5,5 / 5,6,9 / 149,6 / 136,9 / 50,6 / 47,9 / 23,6 / 23,9 / 5,6 / 5,2 / 9,5 / 6,99 / 149,89 / 136,57 / 99,46 / 89,23 / 50,22 / 47,1.10,242,80 / 149,68 / 136,78 / 138,63 / 125,149 / 23,136 / 23,69 / 23,68 / 23,12 / 23,4 / 15,23 / 23,15 / 23,23 / 5,15 / 5,12 / 23,12 / 23,11 / 5,11 / 5,43 / 89,42 / 99,25 / 47,27 / 50,192,68 / 136,69 / 149,62.0 / 125.0,60.0 / 138.0,136 / 23,149 / 23,68 / 23,69 / 23,11 / 15,11 / 23,15 / 23,23 / 23,15 / 5,23 / 5,11 / 23,11 / 23,11 / 5,11 / 5,285,137,148 / 285,137 / 285,136 / 149,149 / 136,46,23,23 / 46,23 / 46,0.93,1.00,0.65,44.4,4.59,42.2,3:31
Roland Garros 2003,26-05-2003,92.4%,Juan Carlos Ferrero,Martin,6-1 6-3 6-2,2 / 70,12 / 100,5 / 70,7 / 100,39 / 70,47 / 100,32 / 39,31 / 47,17 / 31,16 / 53,3 / 4,15 / 22,49 / 70,47 / 100,16 / 47,7 / 39,37 / 53,14 / 31,7 / 22,1 / 4,53 / 100,21 / 70,0.57,102 / 170,68 / 170,2:09,12,2 / 70,12 / 100,2 / 12,12 / 12,2 / 3,12 / 3,7,5 / 70,7 / 100,5 / 31,7 / 53,5 / 12,7 / 12,5 / 3,7 / 3,2 / 5,12 / 7,39 / 70,47 / 100,32 / 39,31 / 47,17 / 31,16 / 53,2.18,258,49 / 70,47 / 100,47 / 63,35 / 81,70 / 12,100 / 12,21 / 12,53 / 12,3 / 4,15 / 22,4 / 12,22 / 12,4 / 3,22 / 3,11 / 12,5 / 12,1 / 3,7 / 3,16 / 47,7 / 39,37 / 53,14 / 31,96,53 / 100,21 / 70,46.0 / 81.0,16.0 / 63.0,100 / 12,70 / 12,53 / 12,21 / 12,7 / 22,1 / 4,22 / 12,4 / 12,22 / 3,4 / 3,7 / 12,1 / 12,7 / 3,1 / 3,170,68,102 / 170,68 / 170,100 / 70,70 / 100,24,6,18 / 24,6 / 24,0.57,0.14,0.79,45.5,5.38,43.0,2:09
Roland Garros 2002,27-05-2002,91.1%,Albert Costa,Juan Carlos Ferrero,6-1 6-0 4-6 6-3,3 / 102,5 / 111,0 / 102,5 / 111,68 / 102,64 / 111,49 / 68,35 / 64,17 / 34,18 / 47,4 / 7,15 / 24,66 / 102,53 / 111,29 / 64,19 / 68,29 / 47,17 / 34,9 / 24,3 / 7,58 / 111,36 / 102,0.68,124 / 213,89 / 213,2:30,5,3 / 102,5 / 111,3 / 16,5 / 16,3 / 4,5 / 4,5,0 / 102,5 / 111,0 / 34,5 / 47,0 / 16,5 / 16,0 / 4,5 / 4,3 / 0,5 / 5,68 / 102,64 / 111,49 / 68,35 / 64,17 / 34,18 / 47,1.43,257,66 / 102,53 / 111,63 / 99,48 / 101,102 / 16,111 / 16,36 / 16,58 / 16,4 / 7,15 / 24,7 / 16,24 / 16,7 / 4,24 / 4,13 / 16,7 / 16,3 / 4,9 / 4,29 / 64,19 / 68,29 / 47,17 / 34,140,58 / 111,36 / 102,53.0 / 101.0,36.0 / 99.0,111 / 16,102 / 16,58 / 16,36 / 16,9 / 24,3 / 7,24 / 16,7 / 16,24 / 4,7 / 4,9 / 16,3 / 16,9 / 4,3 / 4,213,89,124 / 213,89 / 213,111 / 102,102 / 111,32,10,22 / 32,10 / 32,0.68,0.33,1.14,42.3,4.69,37.5,2:30
Roland Garros 2001,28-05-2001,96.2%,Gustavo Kuerten,Alex Corretja,6-7(3) 7-5 6-2 6-0,10 / 123,5 / 121,2 / 123,4 / 121,72 / 123,64 / 121,50 / 72,42 / 64,27 / 51,20 / 57,8 / 11,14 / 23,77 / 123,62 / 121,22 / 64,22 / 72,37 / 57,24 / 51,9 / 23,3 / 11,59 / 121,46 / 123,0.77,136 / 244,108 / 244,3:12,5,10 / 123,5 / 121,10 / 19,5 / 19,10 / 4,5 / 4,4,2 / 123,4 / 121,2 / 51,4 / 57,2 / 19,4 / 19,2 / 4,4 / 4,10 / 2,5 / 4,72 / 123,64 / 121,50 / 72,42 / 64,27 / 51,20 / 57,1.87,268,77 / 123,62 / 121,67 / 111,57 / 112,123 / 19,121 / 19,46 / 19,59 / 19,8 / 11,14 / 23,11 / 19,23 / 19,11 / 4,23 / 4,16 / 19,10 / 19,3 / 4,9 / 4,22 / 64,22 / 72,37 / 57,24 / 51,121,59 / 121,46 / 123,55.0 / 112.0,44.0 / 111.0,121 / 19,123 / 19,59 / 19,46 / 19,9 / 23,3 / 11,23 / 19,11 / 19,23 / 4,11 / 4,9 / 19,3 / 19,9 / 4,3 / 4,244,108,136 / 244,108 / 244,121 / 123,123 / 121,38,13,25 / 38,13 / 38,0.77,0.33,0.70,47.2,5.05,48.0,3:12
Roland Garros 2000,29-05-2000,97.9%,Gustavo Kuerten,Magnus Norman,6-2 6-3 2-6 7-6(6),9 / 144,9 / 172,3 / 144,8 / 172,71 / 144,95 / 172,52 / 71,58 / 95,30 / 73,37 / 77,11 / 16,25 / 32,82 / 144,95 / 172,37 / 95,19 / 71,40 / 77,43 / 73,7 / 32,5 / 16,77 / 172,62 / 144,0.96,159 / 316,157 / 316,3:44,9,9 / 144,9 / 172,9 / 19,9 / 18,9 / 4,9 / 4,8,3 / 144,8 / 172,3 / 73,8 / 77,3 / 19,8 / 18,3 / 4,8 / 4,9 / 3,9 / 8,71 / 144,95 / 172,52 / 71,58 / 95,30 / 73,37 / 77,1.27,304,82 / 144,95 / 172,73 / 132,86 / 155,144 / 19,172 / 18,62 / 19,77 / 18,11 / 16,25 / 32,16 / 19,32 / 18,16 / 4,32 / 4,14 / 19,11 / 18,5 / 4,7 / 4,37 / 95,19 / 71,40 / 77,43 / 73,143,77 / 172,62 / 144,69.0 / 155.0,59.0 / 132.0,172 / 18,144 / 19,77 / 18,62 / 19,7 / 32,5 / 16,32 / 18,16 / 19,32 / 4,16 / 4,7 / 18,5 / 19,7 / 4,5 / 4,316,157,159 / 316,157 / 316,172 / 144,144 / 172,37,17,20 / 37,17 / 37,0.96,0.68,1.43,42.5,6.05,56.0,3:44
Roland Garros 1999,24-05-1999,93.3%,Andre Agassi,Andrei,1-6 2-6 6-4 6-3 6-4,2 / 138,23 / 159,6 / 138,8 / 159,86 / 138,100 / 159,60 / 86,74 / 100,24 / 52,24 / 59,14 / 19,11 / 15,84 / 138,98 / 159,26 / 100,26 / 86,35 / 59,28 / 52,4 / 15,5 / 19,61 / 159,54 / 138,1.02,145 / 297,152 / 297,2:52,23,2 / 138,23 / 159,2 / 22,23 / 22,2 / 5,23 / 5,8,6 / 138,8 / 159,6 / 52,8 / 59,6 / 22,8 / 22,6 / 5,8 / 5,2 / 6,23 / 8,86 / 138,100 / 159,60 / 86,74 / 100,24 / 52,24 / 59,1.82,342,84 / 138,98 / 159,82 / 130,75 / 128,138 / 22,159 / 22,54 / 22,61 / 22,14 / 19,11 / 15,19 / 22,15 / 22,19 / 5,15 / 5,17 / 22,18 / 22,5 / 5,4 / 5,26 / 100,26 / 86,35 / 59,28 / 52,133,61 / 159,54 / 138,53.0 / 128.0,48.0 / 130.0,159 / 22,138 / 22,61 / 22,54 / 22,4 / 15,5 / 19,15 / 22,19 / 22,15 / 5,19 / 5,4 / 22,5 / 22,4 / 5,5 / 5,297,152,145 / 297,152 / 297,159 / 138,138 / 159,44,23,21 / 44,23 / 44,1.02,1.25,0.99,34.7,3.91,34.4,2:52
Roland Garros 1998,25-05-1998,97.6%,Carlos Moya,Alex Corretja,6-3 7-5 6-3,4 / 93,2 / 111,0 / 93,3 / 111,57 / 93,58 / 111,42 / 57,38 / 58,21 / 36,22 / 53,4 / 6,12 / 18,63 / 93,60 / 111,20 / 58,15 / 57,31 / 53,15 / 36,6 / 18,2 / 6,51 / 111,30 / 93,0.70,114 / 204,90 / 204,2:13,2,4 / 93,2 / 111,4 / 15,2 / 15,4 / 3,2 / 3,3,0 / 93,3 / 111,0 / 36,3 / 53,0 / 15,3 / 15,0 / 3,3 / 3,4 / 0,2 / 3,57 / 93,58 / 111,42 / 57,38 / 58,21 / 36,22 / 53,1.58,285,63 / 93,60 / 111,59 / 89,58 / 106,93 / 15,111 / 15,30 / 15,51 / 15,4 / 6,12 / 18,6 / 15,18 / 15,6 / 3,18 / 3,13 / 15,9 / 15,2 / 3,6 / 3,20 / 58,15 / 57,31 / 53,15 / 36,115,51 / 111,30 / 93,48.0 / 106.0,30.0 / 89.0,111 / 15,93 / 15,51 / 15,30 / 15,6 / 18,2 / 6,18 / 15,6 / 15,18 / 3,6 / 3,6 / 15,2 / 15,6 / 3,2 / 3,204,90,114 / 204,90 / 204,111 / 93,93 / 111,30,11,19 / 30,11 / 30,0.70,0.33,1.00,39.1,4.43,44.3,2:13
Roland Garros 1997,26-05-1997,86.6%,Gustavo,Sergi Bruguera,6-3 6-4 6-2,4 / 87,1 / 114,0 / 87,1 / 114,48 / 87,76 / 114,39 / 48,45 / 76,23 / 39,15 / 38,8 / 9,12 / 18,62 / 87,60 / 114,31 / 76,9 / 48,23 / 38,16 / 39,6 / 18,1 / 9,54 / 114,25 / 87,0.61,116 / 201,85 / 201,1:50,1,4 / 87,1 / 114,4 / 13,1 / 14,4 / 3,1 / 3,1,0 / 87,1 / 114,0 / 39,1 / 38,0 / 13,1 / 14,0 / 3,1 / 3,4 / 0,1 / 1,48 / 87,76 / 114,39 / 48,45 / 76,23 / 39,15 / 38,1.50,289,62 / 87,60 / 114,58 / 83,59 / 112,87 / 13,114 / 14,25 / 13,54 / 14,8 / 9,12 / 18,9 / 13,18 / 14,9 / 3,18 / 3,12 / 13,8 / 14,1 / 3,6 / 3,31 / 76,9 / 48,23 / 38,16 / 39,79,54 / 114,25 / 87,53.0 / 112.0,25.0 / 83.0,114 / 14,87 / 13,54 / 14,25 / 13,6 / 18,1 / 9,18 / 14,9 / 13,18 / 3,9 / 3,6 / 14,1 / 13,6 / 3,1 / 3,201,85,116 / 201,85 / 201,114 / 87,87 / 114,27,9,18 / 27,9 / 27,0.61,0.18,0.33,32.8,4.07,36.7,1:50
Roland Garros 1996,27-05-1996,94.8%,Yevgeny Kafelnikov,Michael Stich,7-6(4) 7-5 7-6(4),10 / 148,15 / 152,8 / 148,6 / 152,79 / 148,85 / 152,64 / 79,63 / 85,30 / 69,31 / 67,6 / 9,9 / 13,94 / 148,94 / 152,22 / 85,15 / 79,36 / 67,39 / 69,4 / 13,3 / 9,58 / 152,54 / 148,0.96,152 / 300,148 / 300,2:32,15,10 / 148,15 / 152,10 / 18,15 / 18,10 / 3,15 / 3,6,8 / 148,6 / 152,8 / 69,6 / 67,8 / 18,6 / 18,8 / 3,6 / 3,10 / 8,15 / 6,79 / 148,85 / 152,64 / 79,63 / 85,30 / 69,31 / 67,1.60,329,94 / 148,94 / 152,84 / 130,79 / 131,148 / 18,152 / 18,54 / 18,58 / 18,6 / 9,9 / 13,9 / 18,13 / 18,9 / 3,13 / 3,15 / 18,14 / 18,3 / 3,4 / 3,22 / 85,15 / 79,36 / 67,39 / 69,126,58 / 152,54 / 148,52.0 / 131.0,46.0 / 130.0,152 / 18,148 / 18,58 / 18,54 / 18,4 / 13,3 / 9,13 / 18,9 / 18,13 / 3,9 / 3,4 / 18,3 / 18,4 / 3,3 / 3,300,148,152 / 300,148 / 300,152 / 148,148 / 152,36,17,19 / 36,17 / 36,0.96,0.75,1.08,30.4,4.22,50.7,2:32
Roland Garros 1995,29-05-1995,97.0%,Thomas Muster,Michael Chang,7-5 6-2 6-4,3 / 95,3 / 94,3 / 95,2 / 94,56 / 95,59 / 94,39 / 56,37 / 59,23 / 39,16 / 35,4 / 6,4 / 10,62 / 95,53 / 94,22 / 59,17 / 56,19 / 35,16 / 39,6 / 10,2 / 6,41 / 94,33 / 95,0.80,103 / 189,86 / 189,0:00,3,3 / 95,3 / 94,3 / 15,3 / 15,3 / 3,3 / 3,2,3 / 95,2 / 94,3 / 39,2 / 35,3 / 15,2 / 15,3 / 3,2 / 3,3 / 3,3 / 2,56 / 95,59 / 94,39 / 56,37 / 59,23 / 39,16 / 35,1.37,272,62 / 95,53 / 94,59 / 89,50 / 89,95 / 15,94 / 15,33 / 15,41 / 15,4 / 6,4 / 10,6 / 15,10 / 15,6 / 3,10 / 3,13 / 15,9 / 15,2 / 3,6 / 3,22 / 59,17 / 56,19 / 35,16 / 39,118,41 / 94,33 / 95,39.0 / 89.0,30.0 / 89.0,94 / 15,95 / 15,41 / 15,33 / 15,6 / 10,2 / 6,10 / 15,6 / 15,10 / 3,6 / 3,6 / 15,2 / 15,6 / 3,2 / 3,189,86,103 / 189,86 / 189,94 / 95,95 / 94,30,11,19 / 30,11 / 30,0.80,0.33,0.56,0.0,0.00,0.0,0:00
Roland Garros 1994,23-05-1994,95.5%,Sergi Bruguera,Alberto,6-3 7-5 2-6 6-1,2 / 115,0 / 118,1 / 115,1 / 118,77 / 115,98 / 118,55 / 77,61 / 98,21 / 38,5 / 20,6 / 9,4 / 10,76 / 115,66 / 118,37 / 98,22 / 77,15 / 20,17 / 38,6 / 10,3 / 9,52 / 118,39 / 115,0.77,128 / 233,105 / 233,0:00,0,2 / 115,0 / 118,2 / 18,0 / 18,2 / 4,0 / 4,1,1 / 115,1 / 118,1 / 38,1 / 20,1 / 18,1 / 18,1 / 4,1 / 4,2 / 1,0 / 1,77 / 115,98 / 118,55 / 77,61 / 98,21 / 38,5 / 20,2.49,276,76 / 115,66 / 118,74 / 112,66 / 117,115 / 18,118 / 18,39 / 18,52 / 18,6 / 9,4 / 10,9 / 18,10 / 18,9 / 4,10 / 4,15 / 18,12 / 18,3 / 4,6 / 4,37 / 98,22 / 77,15 / 20,17 / 38,123,52 / 118,39 / 115,51.0 / 117.0,38.0 / 112.0,118 / 18,115 / 18,52 / 18,39 / 18,6 / 10,3 / 9,10 / 18,9 / 18,10 / 4,9 / 4,6 / 18,3 / 18,6 / 4,3 / 4,233,105,128 / 233,105 / 233,118 / 115,115 / 118,36,15,21 / 36,15 / 36,0.77,0.50,0.56,0.0,0.00,0.0,0:00
