Name,Full name,Country (sports),Born,Died,Height,Turned pro,Retired,Plays,Prize money,Int. Tennis HoF,Residence,Spouse(s),Children,Coach,College,Official website,Native name,Nationality,Batting,Cause of death,Listed height,Listed weight
Lewis Hoad,Lewis Alan Hoad,Australia,1934-11-23,"3 July 1994(1994-07-03) (aged 59)Fuengirola, Spain",1.79 m,1957 (amateur tour from 1950),1972,Right-handed (one-handed backhand),"GBP 350,000",1980 (member page),,,,,,,,,,,,
Pete Sampras,,United States,1971-08-12,,1.85 m,1988,"September 8, 2002 (last match)August 25, 2003 (official)",Right-handed (one-handed backhand),"US$43,280,489 (5th all-time leader in earnings)",2007 (member page),"Lake Sherwood, California, U.S.",Bridgette Wilson ​(m. 2000)​,2,Peter Fischer (1980–1989)Joe Brandi (1989–1991)Tim Gullikson (1992–1995)Vitas Gerulaitis (1994 Rome)Paul Annacone (1995–2001)Tom Gullikson (2001–2002)José Higueras (2002)[2]Paul Annacone (2002),,,,,,,,
Fred Stolle,,Australia,1938-10-08,,1.91 m,1966 (amateur tour from 1958),1976,Right-handed (one-handed backhand),,1985 (member page),"Aventura, Florida, USA",,,,,,,,,,,
Rex Hartwig,Rex Noel Hartwig,Australia,1929-09-02,,,1950 (amateur tour),1962,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Petr Korda,,Czech Republic,1968-01-23,,1.90 m,1987,07/01/99,Left-handed (one-handed backhand),"$10,448,900",,"Monte Carlo, Monaco & Bradenton, Florida",,,,,,,,,,,
John Gregory, John Colin Gregory ,England,1903-07-28,10 January 1959(1959-01-10) (aged 55) England,,,,,,,,,,,,,,,,,,
Brian Gottfried,,United States,1952-01-27,,1.83 m,1972,1984,Right-handed (one-handed backhand),"$2,782,514",,"Sarasota, Florida",,,,,,,,,,,
Patrick Rafter,Patrick Michael Rafter,Australia,1972-12-28,,185 cm,1991,2002,Right-handed (one-handed backhand),"$11,133,128",2006 (member page),"Lennox Head, New South Wales, Australia",,,,,,,,,,,
Arthur Larsen,Arthur David Larsen,United States,1925-04-17,"December 7, 2012(2012-12-07) (aged 87)San Leandro, California, United States",,1948 (amateur tour),1956,Left-handed (one-handed backhand),,1969 (member page),,,,,,,,,,,,
William T. Tilden,William Tatem Tilden Jr.,United States,1893-02-10,"June 5, 1953(1953-06-05) (aged 60)Los Angeles, California, U.S.",1.87 m,1931 (amateur from 1912),1946,Right-handed (one-handed backhand),,1959 (member page),,,,,,,,,,,,
Steve Denton,,United States,1956-09-05,,1.87 m,1978,1987,Right-handed (one-handed backhand),"$1,084,664",,"College Station, Texas, U.S.",,,,University of Texas,,,,,,,
R. Lindley Murray,Robert Lindley Murray ,United States,1893-11-03,"January 17, 1970(1970-01-17) (aged 77)Lewiston, New York",1.88m,1913 (amateur tour),1926 (played part-time afterwards),Left-handed (one-handed backhand),,,,,,,,,,,,,,
Jack Kramer,John Albert Kramer,United States,1921-08-01,"September 12, 2009(2009-09-12) (aged 88)Bel Air, California, U.S.",1.88 m,November 1947 (first senior amateur event 1937),1954,Right-handed (one-handed backhand),,1968 (member page),,,,,Rollins College,,,,,,,
Marin Čilić,,Croatia,1988-09-28,,1.98 m,2005,,Right-handed (two-handed backhand),"US$ 28,436,795 (11th all-time leader in earnings)",,"Monte Carlo, Monaco",,,Bob Brett (2004–2013)Goran Ivanišević (2013–2016)Jonas Björkman (2016–2017)Ivan Cinkuš (2018–2020)Vedran Martic (2020–)Vilim Visak (2020–),,marincilic.com,,,,,,
Dinny Pails,,Australia,,"22 November 1986(1986-11-22) (aged 65)Sydney, Australia",,1947 (amateur tour from 1937),1969,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Mikael Pernfors,,Sweden,1963-07-16,,1.73 m,1985,1996,Right-handed (two-handed backhand),"$1,363,793",,"Höllviken, Sweden",,,,,,,,,,,
Martin Mulligan,Martin Frederick Mulligan,"Australia, Italy (1968)",1940-10-18,,,1968 (amateur from 1958),1975,Right-handed (one-handed backhand),,,"San Francisco, United States",,,,,,,,,,,
Goran Ivanišević,,Croatia,1971-09-13,,1.93 m,1988,2004,Left-handed (two-handed backhand),"$19,878,007 (23rd all-time leader in earnings)",2020,"Monte Carlo, Monaco",,,,,,,,,,,
Stefan Edberg,Stefan Bengt Edberg,Sweden,1966-01-19,,1.88 m,1983 (amateur tour from 1982),1996,Right-handed (one-handed backhand),"$20,630,941 (21st all-time leader in earnings)",2004 (member page),"London, England",,,,,,,,,,,
Andrés Gimeno,,Spain,1937-08-03,"9 October 2019(2019-10-09) (aged 82)Barcelona, Spain",1.85 m,1960,1974,Right-handed (one-handed backhand),,2009 (member page),Barcelona,,,,,,,,,,,
Guillermo Vilas,,Argentina,1952-08-17,,1.80 m,1969 (amateur tour from 1968),1992,Left-handed (one-handed backhand),"$4,923,882",1991 (member page),Buenos Aires,,,,,,,,,,,
Kevin Curren,,"South Africa , United States (1985-)",1958-03-02,,1.85 m,1979,1993,Right-handed (one-handed backhand),"$3,055,510",,"Austin, Texas",,,,,,,,,,,
Godfrey M. Brinley,Godfrey Malbone Brinley,United States,1864-11-22,"May 6, 1939(1939-05-06) (aged 74)Ragusa, Yugoslavia [1]",,1882 (amateur tour),1888,,,,,,,,,,,,,,,
Eric Sturgess,,South Africa,1920-05-10,"14 January 2004(2004-01-14) (aged 83)Sunninghill, South Africa",,,,Right-handed (one-handed backhand),,,,,,,,,,,,,,
R. Livingston Beeckman,,,1866-04-15,"January 21, 1935(1935-01-21) (aged 68)Santa Barbara, CA, USA",,1884 (amateur tour),1890,,,,,,,,,,,,,,,
Ken Fletcher,Kenneth Norman Fletcher,Australia,1940-06-15,"11 February 2006(2006-02-11) (aged 65)Brisbane, Queensland, Australia",,1968 (amateur from 1958),1973,Right-handed (1-handed backhand),,,,,,,,,,,,,,
Mats Wilander,,Sweden,1964-08-22,,1.82 m,1981 (amateur tour from 1980),1996,Right-handed (two-handed backhand),"US$ 7,976,256",2002 (member page),"Hailey, Idaho, U.S.",,,,,,,,,,,
Roscoe Tanner,,United States,1951-10-15,,1.83 m,1972 (amateur tour from 1969),1985,Left-handed (one-handed backhand),"$1,696,198",,"Kiawah Island, South Carolina",,,,,,,,,,,
Anthony Wilding,Anthony Frederick Wilding,New Zealand,1883-10-31,"9 May 1915(1915-05-09) (aged 31)Aubers Ridge, Neuve-Chapelle, France",1.87 m,,,Right-handed (one-handed backhand),,1978 (member page),,,,,,,,,,,,
Arthur Ashe,,United States,1943-07-10,"February 6, 1993(1993-02-06) (aged 49)New York City, New York",185 cm,1969 (amateur tour from 1959),1980,Right-handed (one-handed backhand),"$1,584,909 (ATP)",1985 (member page),,,,,,,,,,,,
Henri Cochet,Henri Jean Cochet,France,1901-12-14,"1 April 1987(1987-04-01) (aged 85)[1]Saint-Germain-en-Laye, France[1]",1.68 m,1933 (amateur tour from 1920),1958 (as a reinstated amateur),Right-handed (one-handed backhand),,1976 (member page),,,,,,,,,,,,
Lew Hoad,Lewis Alan Hoad,Australia,1934-11-23,"3 July 1994(1994-07-03) (aged 59)Fuengirola, Spain",1.79 m,1957 (amateur tour from 1950),1972,Right-handed (one-handed backhand),"GBP 350,000",1980 (member page),,,,,,,,,,,,
Tom Okker,Thomas Samuel Okker,Netherlands,1944-02-22,,1.77 m,1968 (amateur tour from 1964),1981,Right-handed (one-handed backhand),"$1,257,200",,"Hazerswoude-Dorp, Netherlands",,,,,,,,,,,
Yvon Petra,Yvon Francois Marie Petra,France,1916-03-08,"12 September 1984(1984-09-12) (aged 68)Paris, France",1.96 m,1948 (amateur from 1935),1955,Right-handed (one-handed backhand),,2016 (member page),,,,,,,,,,,,
Kei Nishikori,,Japan,1989-12-29,,1.78 m,2007,,Right-handed (two-handed backhand),"US$ 24,230,161
 14th all-time leader in earnings",,"Bradenton, Florida, United States",,,Brad Gilbert (2010–2011)Dante Bottini (2010–2019)Michael Chang (2014–)Max Mirnyi (2020–),,keinishikori.com,錦織 圭,,,,,
Robert LeRoy,,United States,1885-02-07,"September 7, 1946(1946-09-07) (aged 61)New York City",,1901 (amateur tour),1931,,,,,,,,Columbia University,,,,,,,
Rod Laver,Rodney George Laver,Australia,1938-08-09,,173 cm,1963 (amateur tour from 1956),1979,Left-handed (one-handed backhand),"US$1,565,413",1981 (member page),"Carlsbad, California, U.S.",,,,,,,,,,,
Yannick Noah,,France,1960-05-18,,1.93 m,1977,1996,Right-handed (one-handed backhand),"$ 3,440,660",2005 (member page),,,,,,,,,,,,
Luis Ayala,,Chile,1932-09-18,,,,,,,,,,,,,,,,,,,
Roger Federer,,Switzerland,1981-08-08,,1.85 m,1998,,Right-handed (one-handed backhand),"$129,981,743
2nd all-time leader in earnings",,"Bottmingen, Switzerland",,,,,rogerfederer.com,,,,,,
Donald McNeill,William Donald McNeill, United States,1918-04-30,"November 28, 1996(1996-11-28) (aged 78) Vero Beach, USA",1.78m,,,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Brian Norton,Brian Ivan Cobb Norton,South Africa,1899-10-10,"16 July 1956(1956-07-16) (aged 56)Santa Clara, California",,,,,,,,,,,,,,,,,,
Fred Perry,Frederick John Perry,Great Britain,1909-05-18,"2 February 1995(1995-02-02) (aged 85)Melbourne, Victoria, Australia",6 ft,1936 (amateur tour from 1929),1956,Right-handed (one-handed backhand),,1975 (member page),,,,,,,,England,,,,
Àlex Corretja,,Spain,1974-04-11,,1.80 m,1991,2005,Right-handed (one-handed backhand),"$10,411,354",,"Barcelona, Spain",,,,,,,,,,,
Donald Budge,John Donald Budge,United States,1915-06-13,"January 26, 2000(2000-01-26) (aged 84)Scranton, Pennsylvania",185 cm,1938 (amateur tour from 1932),1955,Right-handed (one-handed backhand),,1964 (member page),,,,,,,,,,,,
Andy Murray,Andrew Barron Murray,Great Britain,1987-05-15,,1.91 m,2005,,Right-handed (two-handed backhand),"US$ 61,832,826 
 4th all-time leader in earnings",,"Oxshott, Surrey, England",,,Jamie Delgado (2016–present),,andymurray.com,,,,,,
Francis Lowe,,United Kingdom,1884-06-21,"17 May 1972(1972-05-17) (aged 87)London, Great Britain",,,,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Michael Stich,,Germany,1968-10-18,,1.93 m,1988,1997,Right-handed (one-handed backhand),"$12,592,483",2018 (member page),"Elmshorn, Germany",,,,,,,,,,,
Frank Riseley,Frank Lorymer Riseley,United Kingdom,1877-07-06,"6 February 1959(1959-02-06) (aged 81)Torquay, UK",,,,Right-handed (one-handed backhand),,,,,,,,,,,,,,
William E. Glyn,,United Kingdom,,"23 March 1939(1939-03-23) (aged 80)[2]New York City, United States",,1881 (amateur tour),1887,,,,,,,,,,,,,,,
Carlos Moyá,,Spain,1976-08-27,,1.90 m,1995,17 November 2010,"Right-handed (two-handed backhand), born left-handed","US$13,443,970",,"Madrid, Spain",,,,,,,,,,,
