Name,Full name,Country (sports),Born,Died,Height,Turned pro,Retired,Plays,Prize money,Int. Tennis HoF,Residence,Spouse(s),Children,Coach,College,Official website,Native name,Nationality,Batting,Cause of death,Listed height,Listed weight,Sex,Nickname(s),National team,Weight,ITF name,Bowling
"""James Dwight""",,"""United States""",,"""July 13, 1917(1917-07-13) (aged 64)Mattapoisett, MA, U.S.""",,"""1876 (amateur tour)""",1913,"""Right-handed (one-handed backhand)""",,"""1955 (member page)""",,,,,,,,,,,,,M,,,,,
"""Rainer Schüttler""",,"""Germany""","""1976-04-25""",,"""1.80 m""",1995,"""11 October 2012""","""Right-handed (two-handed backhand)""","""$7,407,508""",,"""Altstätten, Switzerland""",,,,,,,,,,,,M,,,,,
"""John Crawford""","""John Herbert Crawford""","""Australia""","""1908-03-22""","""10 September 1991(1991-09-10) (aged 83)Sydney, Australia""","""1.85 m""","""1926 (amateur tour)""",1951,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Miloslav Mečíř""",,"""Czechoslovakia""","""1964-05-19""",,"""1.90 m""",1982,1990,"""Right-handed (two-handed backhand)""","""$2,632,538""",,"""Bratislava, Slovakia""",,,,,,,,,,,,M,,,,,
"""Holcombe Ward""",,"""United States""","""1878-11-23""","""January 23, 1967(1967-01-23) (aged 88)Red Bank, NJ, United States""",,"""1895 (amateur tour)""","""1905 (brief comeback in 1917)""","""Right-handed (one-handed backhand)""",,"""1956 (member page)""",,,,,,,,,,,,,M,,,,,
"""Harold Mahony""","""Harold Segerson Mahony""","""United Kingdom""","""1867-02-13""","""27 June 1905(1905-06-27) (aged 38)County Kerry, Ireland""","""1.91 m""","""1890 (amateur tour)""","""1905 (death)""",,,,,,,,,,,,,,,,M,,,,,
"""Nikola Pilić""",,"""Yugoslavia""","""1939-08-27""",,"""1.91 m""","""1968 (amateur tour from 1960)""",1978,"""Left-handed (one-handed backhand)""",,,"""Munich, Germany""",,,,,,,,,,,,M,,,,,
"""Sidney B. Wood""","""Sidney Burr Beardslee Wood Jr.""","""United States""","""1911-11-01""","""January 10, 2009(2009-01-10) (aged 97)Palm Beach, Florida, U.S.""",,"""1927 (amateur tour)""",1956,"""Right-handed (one-handed backhand)""",,"""1964 (member page)""",,,,,,,,,,,,,M,,,,,
"""Jack Crawford""","""John Herbert Crawford""","""Australia""","""1908-03-22""","""September 10, 1991(1991-09-10) (aged 83) Sydney, Australia""","""1.85 m""","""1926 (amateur tour)""","""1951""","""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Daniil Medvedev""","""Daniil Sergeyevich Medvedev""","""Russia""","""1996-02-11""",,"""1.98 m""",2014,,"""Right-handed (two handed-backhand)""","""US$ $15,878,223""",,"""Monte Carlo, Monaco""",,,"""Gilles Cervara""",,,,,,,,,M,,,,,
"""Rodney Heath""","""Rodney Wilfred Heath""","""Australia""",,"""26 October 1936(1936-10-26) (aged 52)Melbourne, Australia""",,,,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Stan Smith""","""Stanley Roger Smith""","""United States""","""1946-12-14""",,"""1.93 m""","""1969 (amateur tour from 1964)""",1985,"""Right-handed (one-handed backhand)""","""$1,774,811""","""1987 (member page)""","""Hilton Head Island, South Carolina""",,,,,,,,,,,,M,,,,,
"""Dominic Thiem""",,"""Austria""","""1993-09-03""",,"""1.85 m""",2011,,"""Right-handed (one-handed backhand)""","US$ 28,567,121 
 10th all-time in earnings",,"""Lichtenwörth, Austria""",,,"""Günter Bresnik (2002–2019)Nicolás Massú (2019–)""",,"""dominicthiem.at""",,,,,,,M,,,,,
"""Alex Olmedo""",,"""Peru United States""","""1936-03-24""","""December 9, 2020(2020-12-09) (aged 84)Los Angeles, California, US""","""1.78 m""",1960,1977,"""Right-handed (one-handed backhand)""",,"""1987 (member page)""",,,,,,,,,,,,,M,,,,,
"""Jim Willard""",,"""Australia""","""1893-04-22""","""10 June 1968(1968-06-10) (aged 75)""","""1.68 m""",,,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Ilie Năstase""",,"""Romania""","""1946-07-19""",,"""1.82 m""","""1969 (amateur tour from 1966)""",1985,"""Right-handed (one-handed backhand)""","""$2,076,761""","""1991 (member page)""","""Constanța""",,,,,,,,,,,,M,,,,,
"""Tony Roche""","""Anthony Dalton Roche""","""Australia""","""1945-05-17""",,"""1.77 m""","""1968 (amateur from 1963)""",1979,"""Left-handed (one-handed backhand)""","""US$ 529,199""","""1986 (member page)""","""Turramurra, New South Wales, Australia""",,,,,,,,,,,,M,,,,,
"""Željko Franulović""",,"""Yugoslavia""","""1947-06-13""",,,"""1969 (amateur tour from 1965)""",1980,"""Right-handed (one-handed backhand)""",,,"""Split, Croatia""",,,,,,,,,,,,M,,,,,
"""Christian Boussus""","""Jacques Christian Boussus""","""France""","""1908-03-05""","""12 August 2003(2003-07-12) (aged 95)[1]Neuilly-sur-Seine, France""",,"""1926 (amateur tour)""",1953,"""Left-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""John McEnroe""",,"""United States""","""1959-02-16""",,"""1.80 m""","""1978 (debut 1976 Amateur)""","""1994 (singles)2006 (doubles)""","""Left-handed (one-handed backhand)""","""US$12,552,132""","""1999 (member page)""","""New York City, New York, United States""",,,"""Antonio Palafox""","""Stanford University""",,,,,,,,M,,,,,
"""Juan Gisbert""",,"""Spain""","""1942-04-05""",,,"""1968 (amateur tour from 1962)""",1976,"""Right-handed (one-handed backhand)""",,,"""Barcelona, Spain""",,,,,,,,,,,,M,,,,,
"""Henry Austin""","""Henry Wilfred ""Bunny"" Austin ""","""Great Britain""","""1906-08-26""","""26 August 2000(2000-08-26) (aged 94)Coulsdon, London, England""","""1.76m""","""1926 (amateur tour)""",1939,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Mal Anderson""","""Malcolm James Anderson""","""Australia""","""1935-03-03""",,,"""1958 (amateur tour from 1952)""",1977,"""Right-handed (one-handed backhand)""",,"""2000 (member page)""",,,,,,,,,,,,,M,,,,,
"""Gar Moon""","""Edgar Forest Moon""","""Australia""","""1904-12-03""","""26 May 1976(1976-05-26) (aged 71)Greenslopes, Brisbane, Australia [1]""",,"""1925 (amateur tour)""",1940,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Nathaniel W. Niles""","""Nathaniel William Niles""","""United States""","""1886-07-05""","""July 11, 1932(1932-07-11) (aged 46)Brookline, Massachusetts""",,"""1904 (amateur tour)""",1921,,,,,,,,,,,,,,,,M,,,,,
"""Alex Metreveli""","""Alexander Irakliyevich Metreveli ""","""Soviet Union""","""1944-11-02""",,,1962,1979,"""Right-handed (one-handed backhand)""",,,"""Tbilisi, Georgia""",,,,,,,,,,,,M,,,,,
"""Herbert Lawford""","""Herbert Fortescue Lawford""","""United Kingdom of Great Britain and Ireland""","""1851-05-15""","""20 April 1925(1925-04-20) (aged 73)Dess, Aberdeenshire, Scotland""","""1.80 m""","""1878 (amateur tour)""",1890,"""Right-handed (one-handed backhand)""",,"""2006 (member page)""",,,,,,,,,,,,,M,,,,,
"""Thomas Enqvist""",,"""Sweden""","""1974-03-13""",,"""1.90 m""",1991,2005,"""Right-handed (two-handed backhand)""","""$10,461,641""",,"""Monte Carlo, Monaco""",,,,,,,,,,,,M,,,,,
"""Mervyn Rose""","""Mervyn Gordon Rose""","""Australia""","""1930-01-23""","""24 July 2017(2017-07-24) (aged 87)Coffs Harbour, NSW, Australia""",,"""1959 (amateur tour from 1949)""",1972,"""Left-handed (one-handed backhand)""",,"""2001 (member page)""",,,,,,,,,,,,,M,,,,,
"""Pat Cash""",,"""Australia""","""1965-05-27""",,"""183 cm""",1982,1997,"""Right-handed (one-handed backhand)""","""$1,950,345""",,"""London, England""",,,,,,,,,,,,M,,,,,
"""Sergi Bruguera""","""Sergi Bruguera i Torner""","""Spain""","""1971-01-16""",,"""1.88 m""",1988,2002,"""Right-handed (two-handed backhand)""","""$11,632,199""",,"""Barcelona, Spain""",,,,,,,,,,,,M,,,,,
"""Rafael Osuna""",,"""Mexico""","""1938-09-15""","""4 June 1969(1969-06-04) (aged 30)near Monterrey, Mexico""",,"""1958 (amateur tour)""","""June 4, 1969 (due to death)""","""Right-handed (one-handed backhand)""",,"""1979 (member page)""","""Mexico City, Mexico""",,,,,,,,,,,,M,,,,,
"""J.E. Patty""","""John Edward Patty""","""United States""","""1924-02-11""",,,"""1940 (amateur tour)""",1960,"""Right-handed (one-handed backhand)""",,"""1977 (member page)""",,,,,,,,,,,,,M,,,,,
"""Alfred Dunlop""","""Alfred Wallace Dunlop""","""Australia""","""1875-01-12""","""7 April 1933(1933-04-07) (aged 58)Melbourne, Australia""",,"""1897 (amateur tour)""",1914,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Randolph Lycett""",,"""Australia  United Kingdom""","""1886-08-27""","""9 February 1935(1935-02-09) (aged 48)[1]Jersey, United Kingdom""","""1.73 m""","""1905 (amateur tour)""",1929,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Richard D. Sears""","""Richard Dudley Sears""","""United States""","""1861-10-26""","""April 8, 1943(1943-04-08) (aged 81)Boston, MA, US""",,"""1880 (amateur tour)""",1888,"""Right-handed (one-handed backhand)""",,"""1955 (member page)""",,,,,,,,,,,,,M,,,,,
"""Michael Chang""",,"""United States""","""1972-02-22""",,"""175 cm""","""1988 (amateur tour from 1987)""",2003,"""Right-handed (two-handed backhand)""","US$19,145,632
 25th all-time leader in earnings","""2008 (member page)""","""Orange County, California, USA""",,,"""José Higueras (1989), Carl Chang (1992–2003)""",,"""mchang.com""",,,,,,,M,,,,,
"""Vitas Gerulaitis""",,"""United States""","""1954-07-26""","""September 17, 1994(1994-09-17) (aged 40)Southampton, New York, U.S.""","""1.83 m""",1971,1986,"""Right-handed (one-handed backhand)""","""$2,778,748""",,,,,,,,,,,,,,M,,,,,
"""J. Donald Budge""","""John Donald Budge""","""United States""","""1915-06-13""","""January 26, 2000(2000-01-26) (aged 84)Scranton, Pennsylvania""","""185 cm""","""1938 (amateur tour from 1932)""",1955,"""Right-handed (one-handed backhand)""",,"""1964 (member page)""",,,,,,,,,,,,,M,,,,,
"""Harry Hopman""","""Henry Christian Hopman""","""Australia""","""1906-08-12""","""27 December 1985(1985-12-27) (aged 79)Seminole, Florida, USA""","""1.70 m""",,,"""Right-handed (one-handed backhand)""",,"""1978 (member page)""",,,,,,,,,,,,,M,,,,,
"""Ken McGregor""","""Kenneth Bruce McGregor""","""Australia""","""1929-06-02""","""1 December 2007(2007-12-01) (aged 78)Adelaide, Australia""","""188 cm""","""1952 (amateur tour from 1948)""",1957,"""Right-handed (one-handed backhand)""",,"""1999 (member page)""",,,,,,,,,,,,,M,,,,,
"""Dick Crealy""","""Richard D. Crealy""","""Australia""","""1944-09-18""",,,"""1969 (amateur tour from 1963)""",1981,"""Right-handed (one-handed backhand)""",,,"""Sydney, Australia""",,,,,,,,,,,,M,,,,,
"""Gottfried von Cramm""","""Gottfried Alexander Maximilian Walter Kurt Freiherr von Cramm""","""German Empire Nazi Germany West Germany""","""1909-07-07""","""8 November 1976(1976-11-08) (aged 67)Cairo, Egypt""","""1.83 m""","""1931 (amateur tour)""",1952,"""Right-handed (one-handed backhand)""",,"""1977 (member page)""",,,,,,,,,,,,,M,,,,,
"""Harold Solomon""",,"""United States""","""1952-09-17""",,"""1.68 m""","""1972 (amateur from 1971)""",1986,"""Right-handed (two-handed backhand)""","""$1,802,769""",,"""Fort Lauderdale, Florida""",,,,,,,,,,,,M,,,,,
"""Howard A. Taylor""",,"""United States""","""1865-11-23""","""November 26, 1920(1920-11-26) (aged 55) [1]New York City, United States""",,"""1879 (amateur tour)""",1890,,,,,,,,,,,,,,,,M,,,,,
"""Laurie Doherty""","""Hugh Laurence Doherty""","""United Kingdom""","""1875-10-08""","""21 August 1919(1919-08-21) (aged 43)Broadstairs, England""","""1.78 m""",,1906,"""Right-handed (one-handed backhand)""",,"""1980 (member page)""",,,,,,,,,,,,,M,,,,,
"""Kim Warwick""",,"""Australia""","""1952-04-08""",,"""1.83 m""",1970,"""1987 (brief comeback in 1996)""","""Right-handed (one-handed backhand)""","""$994,045""",,"""Clearwater, Florida""",,,,,,,,,,,,M,,,,,
"""David Ferrer""",,"""Spain""","""1982-04-02""",,"""1.75 m""","""2000 (amateur tour from 1999)""",2019,"""Right-handed (two-handed backhand)""","US$31,483,911 
 7th all-time leader in earnings",,"""Valencia, Spain""",,,"""Javier Piles (2000–2013)José Francisco Altur (2014)Francisco Fogues (2014–2019)""",,,,,,,,,M,,,,,
"""Howard Kinsey""","""Howard Oreon Kinsey""","""United States""","""1899-12-03""","""July 26, 1966(1966-07-26) (aged 66)San Francisco, CA, United States""",,"""1927 (amateur from 1920)""",1931,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Jo-Wilfried Tsonga""",,"""France""","""1985-04-17""",,"""1.88 m""",2004,,"Right-handed (two-handed backhand)
occasionally uses one-handed backhand","US$ 22,193,151
 17th all-time leader in earnings",,"""Gingins, Switzerland""",,,"""Eric Winogradsky (2004–2011)Roger Rasheed (2012–2013)Nicolas Escudé (2013–2015)Thierry Ascione (2013–)Sergi Bruguera (2019–)""",,,,,,,,,M,,,,,
"""Ernie Parker""","""Ernest Frederick Parker""","""Australia""","""1883-11-05""","""2 May 1918(1918-05-02) (aged 34)Caëstre, France""",,"""1903 (amateur tour)""","""1918 (due to death)""","""Right-handed (one-handed backhand)""",,,,,,,,,,,"""Right-handed""",,,,M,,,,,
"""Tony Wilding""","""Anthony Frederick Wilding""","""New Zealand""","""1883-10-31""","""9 May 1915(1915-05-09) (aged 31)Aubers Ridge, Neuve-Chapelle, France""","""1.87 m""",,,"""Right-handed (one-handed backhand)""",,"""1978 (member page)""",,,,,,,,,,,,,M,,,,,
"""Frank Parker""",,"""United States""","""1916-01-31""","""July 24, 1997(1997-07-24) (aged 81)San Diego, California, U.S.""",,"""October 1949 (amateur tour from 1930)""",1971,"""Right-handed (one-handed backhand)""",,"""1966 (member page)""",,,,,,,,,,,,,M,,,,,
"""Andriy Medvedev""",,"""Soviet Union (1991) Ukraine (1991–2001)""","""1974-08-31""",,"""1.93 m""",1991,2001,"""Right-handed (two-handed backhand)""","""$6,721,560""",,"""Monte Carlo, Monaco""",,,,,,,,,,,,M,,,,,
"""Patrick Proisy""",,"""France""","""1949-09-10""",,"""1.80 m""",1968,1981,"""Right-handed (one-handed backhand)""",,,"""Paris, France""",,,,,,,,,,,,M,,,,,
"""Kevin Anderson""",,"""South Africa""","""1986-05-18""",,"""2.03m""",2007,,"""Right-handed (two-handed backhand)""","""US$ 17,125,531 """,,"""Gulf Stream, Florida, U.S., Johannesburg, South Africa""",,,,,,,,,,,,M,,,,,
"""Juan Martín del Potro""","""Juan Martín del Potro""","""Argentina""","""1988-09-23""",,"""1.98 m""",2005,,"""Right-handed (two-handed backhand)""","""US$ 25,889,586 12th all-time leader in earnings""",,"""Tandil, Argentina""",,,"""Sebastián Prieto""",,,,,,,,,M,,,,,
"""MaliVai Washington""",,"""United States""","""1969-06-20""",,"""1.80 m""",1989,1999,"""Right-handed (two-handed backhand)""","""$3,232,565""",,"""Ponte Vedra Beach, Florida""",,,,,,,,,,,,M,,,,,
"""Andrés Gómez""",,"""Ecuador""","""1960-02-27""",,"""1.93 m""",1979,1995,"""Left-handed (one-handed backhand)""","""$4,385,130""",,"""Guayaquil, Ecuador""",,,,,,,,,,,,M,,,,,
"""Ashley Cooper""","""Ashley John Cooper""","""Australia""","""1936-09-15""","""22 May 2020(2020-05-22) (aged 83)""","""1.85m""","""1959 (amateur from 1953)""",1962,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Gustavo Kuerten""",,"""Brazil""","""1976-09-10""",,"""1.90 m""",1995,"""25 May 2008""","""Right-handed (one-handed backhand)""","""$14,807,000""","""2012 (member page)""","""Florianópolis, Brazil""",,,,,,,,,,,,M,,,,,
"""Mark Philippoussis""",,"""Australia""","""1976-11-07""",,"""196 cm""",1994,2015,"""Right-handed (one-handed backhand)""","""$6,987,402""",,"""Melbourne, Victoria, Australia""",,,,,,,,,,,,M,,,,,
"""Keith Gledhill""",,"""United States""","""1911-02-16""","""June 2, 1999(1999-06-02) (aged 88)""",,"""1934 (amateur tour from 1930)""",1942,"""Right-handed (one-handed backhand)""",,,,,,,"""Stanford University""",,,,,,,,M,,,,,
"""Gastón Gaudio""",,"""Argentina""","""1978-12-09""",,"""1.75 m""",1996,2011,"""Right-handed (one-handed backhand)""","""$6,066,156""",,"""Buenos Aires, Argentina""",,,,,,,,,,,,M,,,,,
"""Roy Emerson""","""Roy Stanley Emerson""","""Australia""","""1936-11-03""",,"""183 cm""",1953,1983,"""Right-handed (one-handed backhand)""",,"""1982 (member page)""","""Newport Beach, California, U.S.""",,,,,,,,,,,,M,,,,,
"""Dick Savitt""",,"""United States""","""1927-03-04""",,"""1.91 m""","""1944 (amateur tour)""","""1952 (played part-time afterwards)""","""Right-handed (one-handed backhand)""",,"""1976 (member page)""",,,,,"""Cornell University (57–2 record in singles)""",,,,,,,,M,,,,,
"""Maurice McLoughlin""","""Maurice Evans McLoughlin""","""United States""","""1890-01-07""","""December 10, 1957(1957-12-10) (aged 67)Hermosa Beach, CA, U.S.""",,,1919,"""Right-handed (one-handed backhand)""",,"""1957 (member page)""","""AKA ""The California Comet""""",,,,,,,,,,,,M,,,,,
"""Martin Verkerk""",,"""Netherlands""","""1978-10-31""",,"""1.95 m""",1996,"""9 December 2008""","""Right-handed (one-handed backhand)""","""$1,491,379""",,"""Alphen a/d Rijn, Netherlands""",,,,,,,,,,,,M,,,,,
"""Norman Brookes""","""Norman Everard Brookes""","""Australia""","""1877-11-14""","""28 September 1968(1968-09-28) (aged 90)South Yarra, Victoria, Australia""","""1.80 m""",,1928,"""Left-handed (one-handed backhand)[1]""",,"""1977 (member page)""",,,,,,,,,,,,,M,,,,,
"""Fernando González""",,"""Chile""","""1980-07-29""",,"""1.83 m""",1999,2012,"""Right-handed (one-handed backhand)""","""$8,862,276""",,"""La Reina, Santiago""",,,,,,,,,,,,M,,,,,
"""Gerald Patterson""",,"""Australia""","""1895-12-17""","""13 June 1967(1967-06-13) (aged 71)Melbourne, Australia""",,"""1914 (amateur tour)""",1928,"""Right-handed (one-handed backhand)""",,"""1989 (member page)""",,,,,,,,,,,,,M,,,,,
"""René Lacoste""",,"""France""","""1904-07-02""","""12 October 1996(1996-10-12) (aged 92)Saint-Jean-de-Luz, France""",,,1932,"""Right-handed (one-handed backhand)""",,"""1976 (member page)""",,,,,,,,,,,,,M,,,,,
"""Jimmy Connors""","""James Scott Connors""","""United States""","""1952-09-02""",,"""1.78 m""","""1972 (amateur from 1970)""","""April 29, 1996""","""Left-handed (two-handed backhand)""","""$8,641,040""","""1998 (member page)""","""Santa Barbara, California, U.S.""",,,"""Gloria ConnorsPancho Segura""",,,,,,,,,M,,,,,
"""Frank Hadow""","""Patrick Francis Hadow""","""United Kingdom""","""1855-01-02""","""29 June 1946(1946-06-29) (aged 91)Bridgwater, Somerset, England""",,"""1878 (amateur tour)""",1878,,,,,,,,,,,,,,,,M,,,,,
"""Horace Rice""",,"""Australia""","""1872-09-05""","""18 January 1950(1950-01-18) (aged 77) [1]Roseville, Sydney, Australia""",,,,"""Left-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Phil Dent""",,"""Australia""","""1950-02-14""",,"""182 cm""","""1968 (amateur from 1967)""",1983,"""Right-handed (one-handed backhand)""",,,"""Newport Beach, California, U.S.""",,,,,,,,,,,,M,,,,,
"""Wallace F. Johnson""",,"""United States""","""1889-07-13""","""February 15, 1971(1971-02-15) (aged 81)Philadelphia, Pennsylvania, United States""",,"""1929 (amateur tour from 1904)""",1930,"""Right-handed (one-handed backhand)""",,,,,,,"""University of Pennsylvania[1]""",,,,,,,,M,,,,,
"""Björn Borg""","""Björn Rune Borg""","""Sweden""","""1956-06-06""",,"""1.80 m""","""1973 (comeback in 1991)""","""1984, 1993""","""Right-handed (two-handed backhand)""","""$3,655,751""","""1987 (member page)""","""Monte Carlo, Monaco""",,,"""Lennart Bergelin (1971–1983)Ron Thatcher (1991–1993)""",,,,,,,,,M,,,,,
"""Ellsworth Vines""","""Henry Ellsworth Vines Jr.""","""United States""","""1911-09-28""","""March 17, 1994(1994-03-17) (aged 82)La Quinta, California""","""1.89 m""",1934,1940,"""Right-handed (one-handed backhand)""",,"""1962 (member page)""",,,,,,,,,,,,,M,,,,,
"""H. Ellsworth Vines""","""Henry Ellsworth Vines Jr.""","""United States""","""1911-09-28""","""March 17, 1994(1994-03-17) (aged 82)La Quinta, California""","""1.89 m""",1934,1940,"""Right-handed (one-handed backhand)""",,"""1962 (member page)""",,,,,,,,,,,,,M,,,,,
"""William Hamilton""","""James Willoughby Hamilton""","""United Kingdom, Ireland""","""1864-12-09""","""27 September 1943(1943-09-27) (aged 78)Dublin, Republic of Ireland""","""1.75m""",,,,,,,,,,,,,,,,,,M,,,,,
"""Seaman Jack Kramer""","""John Albert Kramer""","""United States""","""1921-08-01""","""September 12, 2009(2009-09-12) (aged 88)Bel Air, California, U.S.""","""1.88 m""","""November 1947 (first senior amateur event 1937)""",1954,"""Right-handed (one-handed backhand)""",,"""1968 (member page)""",,,,,"""Rollins College""",,,,,,,,M,,,,,
"""Adrian Quist""","""Adrian Karl Quist""","""Australia""","""1913-01-23""","""17 November 1991(1991-11-17) (aged 78)Sydney, New South Wales, Australia""",,"""1930 (amateur tour)""",1955,"""Right-handed (one-handed backhand)""",,"""1984 (member page)""",,,,,,,,,,,,,M,,,,,
"""Jim Courier""",,"""United States""","""1970-08-17""",,"""1.85 m""",1988,2000,"""Right-handed (two-handed backhand)""","""$14,034,132""","""2005 (member page)""","""Orlando, Florida""",,,"""Nick Bollettieri, Sergio Cruz (1988–1990), Brad Stine (1990–1994)José Higueras (1990–1997)Harold Solomon (1997)Brad Stine (1997–2000)""",,,,,,,,,M,,,,,
"""Henri Leconte""",,"""France""","""1963-07-04""",,"""1.84 m""",1980,1996,"""Left-handed (one-handed backhand)""","""$3,440,660""",,"""Geneva, Switzerland""",,,,,,,,,,,,M,,,,,
"""William Marshall""","""William Marshall""","""United Kingdom of Great Britain and Ireland""","""1849-04-29""","""24 January 1921(1921-01-24) (aged 71)Hindhead, Surrey, England""",,,,,,,,,,,,,,,,,,,M,,,,,
"""Maurice E. McLoughlin""","""Maurice Evans McLoughlin""","""United States""","""1890-01-07""","""December 10, 1957(1957-12-10) (aged 67)Hermosa Beach, CA, U.S.""",,,1919,"""Right-handed (one-handed backhand)""",,"""1957 (member page)""","""AKA ""The California Comet""""",,,,,,,,,,,,M,,,,,
"""John Sadri""",,"""United States""","""1956-09-19""",,"""1.88 m""",1976,1987,"""Right-handed (one-handed backhand)""","""$895,455""",,"""Charlotte, North Carolina""",,,,,,,,,,,,M,,,,,
"""Jaroslav Drobný""",,"""Czechoslovakia, Bohemia and Moravia , Egypt, United Kingdom""","""1921-10-12""","""13 September 2001(2001-09-13) (aged 79)Tooting, London, England""",,"""1938 (amateur tour)""",1969,"""Left-handed (one-handed backhand)""",,"""1983 (member page)""",,,,,,,,,,,,,M,,,,,
"""Herbert Flam""",,"""United States""","""1928-11-07""","""November 25, 1980(1980-11-25) (aged 52)""",,"""1945 (amateur tour)""",1963,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Onny Parun""",,"""New Zealand""","""1947-04-15""",,"""188 cm""","""1969 (amateur tour from 1967)""",1982,"""Right-handed (one-handed backhand)""",,,"""Wellington, New Zealand""",,,,,,,,,,,,M,,,,,
"""Tom Brown, Jr.""",,"""United States""","""1922-09-26""","""October 27, 2011(2011-10-27) (aged 89) Castro Valley, California, U.S.""",,"""1939 (amateur tour)""",1969,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""John H. Crawford""","""John Herbert Crawford""","""United States""","""1991-09-10""","""10 September 1991(1991-09-10) (aged 83) Sydney, Australia""","""1.85m""","""1926(amateur tour)""","""1951""","""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Dennis Ralston""","""Richard Dennis Ralston""","""United States""",,"""December 6, 2020(2020-12-06) (aged 78)Austin, Texas, US""","""1.88 m""","""1967 (amateur from 1958)""",1977,"""Right-handed (one-handed backhand)""",,"""1987 (member page)""",,,,,,,,,,,,,M,,,,,
"""Brian Teacher""",,"""Brian David Teacher""","""1954-12-23""",,"""1.91 m""",1973,1986,"""Right-handed (one-handed backhand)""","""$1,426,514""",,,,,,,,,,,,,,M,,,,,
"""Albert Costa""",,"""Spain""","""1975-06-25""",,"""1.80 m""",1993,2006,"""Right-handed (one-handed backhand)""","""$7,673,478""",,"""Barcelona, Spain""",,,,,,,,,,,,M,,,,,
"""Alejandro Olmedo""",,"""Peru United States""","""1936-03-24""","""December 9, 2020(2020-12-09) (aged 84)Los Angeles, California, US""","""1.78 m""",1960,1977,"""Right-handed (one-handed backhand)""",,"""1987 (member page)""",,,,,,,,,,,,,M,,,,,
"""Magnus Norman""",,"""Sweden""","""1976-05-30""",,"""1.88 m""",1995,"""2004 (last match played in September 2003)""","""Right-handed (two-handed backhand)""","""$4,537,247""",,"""Monte Carlo, Monaco""",,,,,,,,,,,,M,,,,,
"""Gardnar Mulloy""",,"""United States""","""1913-11-22""","""November 14, 2016(2016-11-14) (aged 102)Miami, Florida, United States""","""1.85 m""","""1934 (amateur tour)""",1969,"""Right-handed (one-handed backhand)""",,"""1972 (member page)""",,,,,"""University of Miami""",,,,,,,,M,,,,,
"""William M. Johnston""",,"""United States""","""1894-11-02""","""May 1, 1946(1946-05-01) (aged 51) San Francisco, California, U.S.""","""1.73m""","""1913 (amateur tour)""","""1928""","""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Chris Lewis""",,"""New Zealand""","""1957-03-09""",,"""1.80m""","""1975""","""1986""","""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Ian Vermaak""",,"""South Africa""","""1933-03-28""",,,"""1953 (amateur tour)""","""1960 (brief periods of activity afterwards)""","""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,M,,,,,
"""Marat Safin""","""Marat Mubinovich Safin""","""Russia""","""1980-01-27""",,"""1.93 m""",1997,"""11 November 2009""","""Right-handed (two-handed backhand)""","""US$ 14,373,291""","""2016 (member page)""","""Monte Carlo, Monaco""",,,,,,"""Марат Мубинович Сафин""",,,,,,M,,,,,
"""Jean Borotra""","""Jean Laurent Robert Borotra""","""France""","""1898-08-13""","""17 July 1994(1994-07-17) (aged 95)Arbonne, France""","""1.86 m""","""1920 (amateur tour)""",1956,"""Right-handed (one-handed backhand)""",,"""1976 (member page)""",,,,,,,,,,,,,M,,,,,
"""Guillermo Coria""",,"""Argentina""","""1982-01-13""",,"""1.75 m""",2000,"""28 April 2009""","""Right-handed (two-handed backhand)""","""$5,915,620""",,"""Venado Tuerto, Argentina""",,,"""Gustavo Luza (2000)Mariano Monachesi (2001)Franco Davín (2002–2003)Alberto Mancini (2003–2004)Fabian Blengino (2004)Gabriel Markus (2004)José Perlas (2004–2005)José Higueras (2006)Horacio De La Peña (2006)Hernán Gumy (2007–2008)Martin Rodriguez (2009)""",,,,,,,,,M,,,,,
