Year,Tournament,Winner,Runner-up,Score
1948,Wimbledon Championships,R. Falkenburg,John Bromwich,"7–5, 0–6, 6–2, 3–6, 7–5"
1948,French Championships,Frank Parker,Jaroslav Drobný,"6–4, 7–5, 5–7, 8–6"
1948,Australian Championships,Adrian Quist,John Bromwich,"6–4, 3–6, 6–3, 2–6, 6–3"
1947,U.S. National Championships,Jack Kramer,Frank Parker,"4–6, 2–6, 6–1, 6–0, 6–3"
1947,Wimbledon Championships,Jack Kramer,Tom P. Brown,"6–1, 6–3, 6–2"
1947,French Championships,József Asbóth,Eric Sturgess,"8–6, 7–5, 6–4"
1947,Australian Championships,Dinny Pails,John Bromwich,"4–6, 6–4, 3–6, 7–5, 8–6"
1946,U.S. National Championships,Jack Kramer,"Tom Brown, Jr.","9–7, 6–3, 6–0"
1946,Wimbledon Championships,Yvon Petra,Geoff E. Brown,"6–2, 6–4, 7–9, 5–7, 6–4"
1946,French Championships,Marcel Bernard,Jaroslav Drobný,"3–6, 2–6, 6–1, 6–4, 6–3"
1946,Australian Championships,John Bromwich,Dinny Pails,"5–7, 6–3, 7–5, 3–6, 6–2"
1945,U.S. National Championships,Frank Parker,William F. Talbert,"14–12, 6–1, 6–2"
1944,U.S. National Championships,Frank Parker,William F. Talbert,"6–4, 3–6, 6–3, 6–3"
1943,U.S. National Championships,Lt. Joseph R. Hunt,Seaman Jack Kramer,"6–3, 6–8, 10–8, 6–0"
1942,U.S. National Championships,"Frederick R. Schroeder, Jr.",Frank Parker,"8–6, 7–5, 3–6, 4–6, 6–2"
1941,U.S. National Championships,Robert Riggs,"Francis Kovacs, 2d","5–7, 6–1, 6–3, 6–3"
1940,U.S. National Championships,Donald McNeill,Robert Riggs,"4–6, 6–8, 6–3, 6–3, 7–5"
1940,Australian Championships,Adrian Quist,Jack Crawford,"6–3, 6–1, 6–2"
1939,U.S. National Championships,Robert Riggs,S. Welby van Horn,"6–4, 6–2, 6–4"
1939,Wimbledon Championships,Robert Riggs,Elwood Cooke,"2–6, 8–6, 3–6, 6–3, 6–2"
1939,French Championships,William McNeill,Robert Riggs,"7–5, 6–0, 6–3"
1939,Australian Championships,John Bromwich,Adrian Quist,"6–4, 6–1, 6–2"
1938,U.S. National Championships,Donald Budge,C. Gene Mako,"6–3, 6–8, 6–2, 6–1"
1938,Wimbledon Championships,Donald Budge,Henry Austin,"6–1, 6–0, 6–3"
1938,French Championships,Donald Budge,Roderik Menzel,"6–3, 6–2, 6–4"
1938,Australian Championships,Donald Budge,John Bromwich,"6–4, 6–2, 6–1"
1937,U.S. National Championships,Donald Budge,Gottfried von Cramm,"6–1, 7–9, 6–1, 3–6, 6–1"
1937,Wimbledon Championships,Donald Budge,Gottfried von Cramm,"6–3, 6–4, 6–2"
1937,French Championships,Henner Henkel,Henry Austin,"6–1, 6–4, 6–3"
1937,Australian Championships,Vivian McGrath,John Bromwich,"6–3, 1–6, 6–0, 2–6, 6–1"
1936,U.S. National Championships,Fred Perry,J. Donald Budge,"2–6, 6–2, 8–6, 1–6, 10–8"
1936,Wimbledon Championships,Fred Perry,Gottfried von Cramm,"6–1, 6–1, 6–0"
1936,French Championships,Gottfried von Cramm,Fred Perry,"6–0, 2–6, 6–2, 2–6, 6–0"
1936,Australian Championships,Adrian Quist,Jack Crawford,"6–2, 6–3, 4–6, 3–6, 9–7"
1935,U.S. National Championships,Wilmer L. Allison,Sidney B. Wood,"6–2, 6–2, 6–3"
1935,Wimbledon Championships,Fred Perry,Gottfried von Cramm,"6–2, 6–4, 6–4"
1935,French Championships,Fred Perry,Gottfried von Cramm,"6–3, 3–6, 6–1, 6–3"
1935,Australian Championships,Jack Crawford,Fred Perry,"2–6, 6–4, 6–4, 6–4"
1934,U.S. National Championships,Fred Perry,Wilmer L. Allison,"6–4, 6–3, 3–6, 1–6, 8–6"
1934,Wimbledon Championships,Fred Perry,Jack Crawford,"6–3, 6–0, 7–5"
1934,French Championships,Gottfried von Cramm,Jack Crawford,"6–4, 7–9, 3–6, 7–5, 6–3"
1934,Australian Championships,Fred Perry,Jack Crawford,"6–3, 7–5, 6–1"
1933,U.S. National Championships,Fred Perry,John H. Crawford,"6–3, 11–13, 4–6, 6–0, 6–1"
1933,Wimbledon Championships,Jack Crawford,Ellsworth Vines,"4–6, 11–9, 6–2, 2–6, 6–4"
1933,French Championships,John Crawford,Henri Cochet,"8–6, 6–1, 6–3"
1933,Australian Championships,Jack Crawford,Keith Gledhill,"2–6, 7–5, 6–3, 6–2"
1932,U.S. National Championships,H. Ellsworth Vines,Henri Cochet,"6–4, 6–4, 6–4"
1932,Wimbledon Championships,H. Ellsworth Vines,Henry Austin,"6–4, 6–2, 6–0"
1932,French Championships,Henri Cochet,Giorgo de Stefani,"6–0, 6–4, 4–6, 6–3"
1932,Australian Championships,Jack Crawford,Harry Hopman,"4–6, 6–3, 3–6, 6–3, 6–1"
1931,U.S. National Championships,H. Ellsworth Vines,"George M. Lott, Jr.","7–9, 6–3, 9–7, 7–5"
1931,Wimbledon Championships,S.B. Wood,Francis X. Shields,W/O
1931,French Championships,Jean Borotra,Christian Boussus,"2–6, 6–4, 7–5, 6–4"
1931,Australian Championships,Jack Crawford,Harry Hopman,"6–4, 6–2, 2–6, 6–1"
1930,U.S. National Championships,John H. Doeg,Francis X. Shields,"10–8, 1–6, 6–4, 16–14"
1930,Wimbledon Championships,William T. Tilden,Wilmer Allison,"6–3, 9–7, 6–4"
1930,French Championships,Henri Cochet,William Tilden,"3–6, 8–6, 6–3, 6–1"
1930,Australian Championships,Gar Moon,Harry Hopman,"6–3, 6–1, 6–3"
1929,U.S. National Championships,William T. Tilden,Francis T. Hunter,"3–6, 6–3, 4–6, 6–2, 6–4"
1929,Wimbledon Championships,Henri Cochet,Jean Borotra,"6–4, 6–3, 6–4"
1929,French Championships,René Lacoste,Jean Borotra,"6–3, 2–6, 6–0, 2–6, 8–6"
1929,Australian Championships,John Gregory,Richard Schlesinger,"6–2, 6–2, 5–7, 6–4"
1928,U.S. National Championships,Henri Cochet,Francis T. Hunter,"4–6, 6–4, 3–6, 7–5, 6–3"
1928,Wimbledon Championships,René Lacoste,Henri Cochet,"6–1, 4–6, 6–4, 6–2"
1928,French Championships,Henri Cochet,René Lacoste,"5–7, 6–3, 6–1, 6–3"
1928,Australian Championships,Jean Borotra,R.Cummings,"6–4, 6–1, 4–6, 5–7, 6–3"
1927,U.S. National Championships,René Lacoste,William T. Tilden,"11–9, 6–3, 11–9"
1927,Wimbledon Championships,Henri Cochet,Jean Borotra,"4–6, 4–6, 6–3, 6–4, 7–5"
1927,French Championships,René Lacoste,William Tilden,"6–4, 4–6, 5–7, 6–3, 11–9"
1927,Australian Championships,Gerald Patterson,John Hawkes,"3–6, 6–4, 3–6, 18–16, 6–3"
1926,U.S. National Championships,René Lacoste,Jean Borotra,"6–4, 6–0, 6–4"
1926,Wimbledon Championships,Jean Borotra,Howard Kinsey,"8–6, 6–1, 6–3"
1926,French Championships,Henri Cochet,René Lacoste,"6–2, 6–4, 6–3"
1926,Australasian Championships,John Hawkes,Jim Willard,"6–1, 6–3, 6–1"
1925,U.S. National Championships,William T. Tilden,William M. Johnston,"4–6, 11–9, 6–3, 4–6, 6–3"
1925,Wimbledon Championships,René Lacoste,Jean Borotra,"6–3, 6–3, 4–6, 8–6"
1925,French Championships,René Lacoste,Jean Borotra,"7–5, 6–1, 6–4"
1925,Australasian Championships,James Anderson,Gerald Patterson,"11–9, 2–6, 6–2, 6–3"
1924,U.S. National Championships,William T. Tilden,William M. Johnston,"6–1, 9–7, 6–2"
1924,Wimbledon Championships,Jean Borotra,René Lacoste,"6–1, 3–6, 6–1, 3–6, 6–4"
1924,Australasian Championships,James Anderson,Richard Schlesinger,"6–3, 6–4, 3–6, 5–7, 6–3"
1923,U.S. National Championships,William T. Tilden,William M. Johnston,"6–4, 6–1, 6–4"
1923,Wimbledon Championships,William M. Johnston,Francis T. Hunter,"6–0, 6–3, 6–1"
1923,Australasian Championships,Pat O\'Hara Wood,C.St.John,"6–1, 6–1, 6–3"
1922,U.S. National Championships,William T. Tilden,William M. Johnston,"4–6, 3–6, 6–2, 6–3, 6–4"
1922,Wimbledon Championships,Gerald Patterson,Randolph Lycett,"6–3, 6–4, 6–2"
1922,Australasian Championships,Pat O\'Hara Wood,Gerald Patterson,"6–0, 3–6, 3–6, 6–3, 6–2"
1921,U.S. National Championships,William T. Tilden,William M. Johnston,"6–1, 6–3, 6–1"
1921,Wimbledon Championships,William T. Tilden,Brian Norton,"5–7, 4–6, 7–5, 6–3, 6–3"
1921,Australasian Championships,Rhys Gemmell,A. Hedeman,"7–5, 6–1, 6–4"
1920,U.S. National Championships,William T. Tilden,William M. Johnston,"6–1, 1–6, 7–5, 5–7, 6–3"
1920,Wimbledon Championships,William T. Tilden,Gerald Patterson,"6–4, 6–4, 13–11"
1920,Australasian Championships,Pat O\'Hara Wood,Ron Thomas,"6–3, 4–6, 6–8, 6–1, 6–3"
1919,U.S. National Championships,William M. Johnston,William T. Tilden,"6–4, 6–4, 6–3"
1919,Wimbledon Championships,Gerald Patterson,Norman Brookes,"6–2, 6–1, 6–3"
1919,Australasian Championships,A.R.F. Kingscote,E. Pockley,"6–4, 6–0, 6–3"
1918,U.S. National Championships,R. Lindley Murray,William T. Tilden,"6–3, 6–1, 7–5"
1917,U.S. National Championships,R. Lindley Murray,Nathaniel W. Niles,"5–7, 8–6, 6–3, 6–3"
1916,U.S. National Championships,Richard N. Williams,William M. Johnston,"4–6, 6–4, 0–6, 6–2, 6–4"
1915,U.S. National Championships,William M. Johnston,Maurice E. McLoughlin,"1–6, 6–0, 7–5, 10–8"
1915,Australasian Championships,Francis Lowe,Horace Rice,"4–6, 6–1, 6–1, 6–4"
1914,U.S. National Championships,Richard N. Williams,Maurice E. McLoughlin,"6–3, 8–6, 10–8"
1914,Wimbledon Championships,Norman Brookes,Anthony Wilding,"6–2, 6–1, 5–7, 4–6, 8–6"
1914,Australasian Championships,Pat O\'Hara Wood,Gerald Patterson,"6–4, 6–3, 5–7, 6–1"
1913,U.S. National Championships,Maurice E. McLoughlin,Richard N. Williams,"6–4, 5–7, 6–3, 6–1"
1913,Wimbledon Championships,Anthony Wilding,Maurice McLoughlin,"6–3, 6–4, 7–5"
1913,Australasian Championships,E.F. Parker,Harry Parker,"2–6, 6–1, 6–3, 6–2"
1912,U.S. National Championships,Maurice E. McLoughlin,Wallace F. Johnson,"3–6, 2–6, 6–2, 6–4, 6–2"
1912,Wimbledon Championships,Anthony Wilding,Arthur Gore,"9–7, 2–6, 7–5, 6–1"
1912,Australasian Championships,Cecil Parke,A. Beamish,"3–6, 6–3, 1–6, 6–1, 7–5"
1911,U.S. National Championships,William A. Larned,Maurice E. McLoughlin,"6–4, 6–4, 6–2"
1911,Wimbledon Championships,Anthony Wilding,H. Roper Barrett,"5–7, 4–6, 6–4, 6–3, 6–1"
1911,Australasian Championships,Norman Brookes,Horace Rice,"6–1, 6–2, 6–3"
1910,U.S. National Championships,William A. Larned,Thomas C. Bundy,"6–1, 5–7, 6–0, 6–8, 6–1"
1910,Wimbledon Championships,Anthony Wilding,Arthur Gore,"4–6, 4–6, 6–3, 6–2, 6–3"
1910,Australasian Championships,Rodney Heath,Horace Rice,"6–4, 6–3, 6–2"
1909,U.S. National Championships,William A. Larned,William J. Clothier,"6–1, 6–2, 5–7, 1–6, 6–1"
1909,Wimbledon Championships,Arthur Gore,M.J.G. Ritchie,"6–2, 6–3, 4–6, 6–4"
1909,Australasian Championships,Tony Wilding,Ernie Parker,"6–1, 7–5, 6–2"
1908,U.S. National Championships,William A. Larned,Beals C. Wright,"6–1, 6–2, 8–6"
1908,Wimbledon Championships,Arthur Gore,H. Roper Barrett,"6–3, 6–2, 4–6, 3–6, 6–4"
1908,Australasian Championships,Fred Alexander,Alfred Dunlop,"3–6, 3–6, 6–0, 6–2, 6–3"
1907,U.S. National Championships,William A. Larned,Robert LeRoy,"6–2, 6–2, 6–4"
1907,Wimbledon Championships,Norman Brookes,Arthur Gore,"6–4, 6–2, 6–2"
1907,Australasian Championships,Horace Rice,Harry Parker,"6–3, 6–4, 6–4"
1906,U.S. National Championships,William A. Larned,Beals C. Wright,"6–3, 6–0, 6–4"
1906,Wimbledon Championships,Laurie Doherty,Frank Riseley,"6–3, 6–3, 6–4"
1906,Australasian Championships,Tony Wilding,Harry Parker,"6–0, 6–4, 6–4"
1905,U.S. National Championships,Beals C. Wright,Holcombe Ward,"6–2, 6–1, 11–9"
1905,Wimbledon Championships,Laurie Doherty,Norman Brookes,"1–6, 6–4, 6–1, 1–6, 7–5"
1905,Australasian Championships,Rodney Heath,A. Curtis,"4–6, 6–3, 6–4, 6–4"
1904,U.S. National Championships,Holcombe Ward,William J. Clothier,"10–8, 6–4, 9–7"
1904,Wimbledon Championships,Laurie Doherty,Frank Riseley,"6–0, 6–1, 6–2"
1903,U.S. National Championships,Hugh L. Doherty,William A. Larned,"6–0, 6–3, 10–8"
1903,Wimbledon Championships,Laurie Doherty,Frank Riseley,"1–6, 6–3, 8–6, 13–11"
1902,U.S. National Championships,William A. Larned,Reginald F. Doherty,"4–6, 6–2, 6–4, 8–6"
1902,Wimbledon Championships,Laurie Doherty,Arthur Gore,"8–6, 6–3, 7–5"
1901,U.S. National Championships,William A. Larned,Beals C. Wright,"6–2, 6–8, 6–4, 6–4"
1901,Wimbledon Championships,Arthur Gore,Reggie Doherty,"6–4, 6–0, 6–3"
1900,U.S. National Championships,Malcolm D. Whitman,William A. Larned,"6–4, 1–6, 6–2, 6–2"
1900,Wimbledon Championships,Reggie Doherty,Sidney Smith,"6–4, 4–6, 6–2, 6–1"
1899,U.S. National Championships,Malcolm D. Whitman,J. Parmly Paret,"6–1, 6–2, 3–6, 7–5"
1899,Wimbledon Championships,Reggie Doherty,Arthur Gore,"3–6, 6–1, 6–2, 6–4"
1898,U.S. National Championships,Malcolm D. Whitman,Dwight F. Davis,"3–6, 6–2, 6–2, 6–1"
1898,Wimbledon Championships,Reggie Doherty,Laurie Doherty,"6–3, 6–3, 2–6, 5–7, 6–1"
1897,U.S. National Championships,Robert D. Wrenn,Wilberforce Eaves,"4–6, 8–6, 6–3, 2–6, 6–2"
1897,Wimbledon Championships,Reggie Doherty,Harold Mahony,"6–4, 6–4, 6–3"
1896,U.S. National Championships,Robert D. Wrenn,Fred H. Hovey,"7–5, 3–6, 6–0, 1–6, 6–1"
1896,Wimbledon Championships,Harold Mahony,Wilfred Baddeley,"6–2, 6–8, 5–7, 8–6, 6–3"
1895,U.S. National Championships,Fred H. Hovey,Robert D. Wrenn,"6–3, 6–2, 6–4"
1895,Wimbledon Championships,Wilfred Baddeley,Wilberforce Eaves,"4–6, 2–6, 8–6, 6–2, 6–3"
1894,U.S. National Championships,Robert D. Wrenn,Manliff Goodbody,"6–8, 6–1, 6–4, 6–4"
1894,Wimbledon Championships,Joshua Pim,Wilfred Baddeley,"10–8, 6–2, 8–6"
1893,U.S. National Championships,Robert D. Wrenn,Fred H. Hovey,"6–4, 3–6, 6–4, 6–4"
1893,Wimbledon Championships,Joshua Pim,Wilfred Baddeley,"3–6, 6–1, 6–3, 6–2"
1892,U.S. National Championships,Oliver S. Campbell,Fred H. Hovey,"7–5, 3–6, 6–3, 7–5"
1892,Wimbledon Championships,Wilfred Baddeley,Joshua Pim,"4–6, 6–3, 6–3, 6–2"
1891,U.S. National Championships,Oliver S. Campbell,Clarence Hobart,"2–6, 7–5, 7–9, 6–1, 6–2"
1891,Wimbledon Championships,Wilfred Baddeley,Joshua Pim,"6–4, 1–6, 7–5, 6–0"
1890,U.S. National Championships,Oliver S. Campbell,"Henry W. Slocum, Jr.","6–2, 4–6, 6–3, 6–1"
1890,Wimbledon Championships,William Hamilton,William Renshaw,"6–8, 6–2, 3–6, 6–1, 6–1"
1889,U.S. National Championships,Henry W. Slocum Jr.,Quincy Shaw,"6–3, 6–1, 4–6, 6–2"
1889,Wimbledon Championships,William Renshaw,Ernest Renshaw,"6–4, 6–1, 3–6, 6–0"
1888,U.S. National Championships,Henry W. Slocum Jr.,Howard A. Taylor,"6–4, 6–1, 6–0"
1888,Wimbledon Championships,Ernest Renshaw,Herbert Lawford,"6–3, 7–5, 6–0"
1887,U.S. National Championships,Richard D. Sears,"Henry W. Slocum, Jr.","6–1, 6–3, 6–2"
1887,Wimbledon Championships,Herbert Lawford,Ernest Renshaw,"6–2, 6–3, 2–6, 4–6, 6–4"
1886,U.S. National Championships,Richard D. Sears,R. Livingston Beeckman,"4–6, 6–1, 6–3, 6–4"
1886,Wimbledon Championships,William Renshaw,Herbert Lawford,"6–0, 5–7, 6–3, 6–4"
1885,U.S. National Championships,Richard D. Sears,Godfrey M. Brinley,"6–3, 4–6, 6–0, 6–3"
1885,Wimbledon Championships,William Renshaw,Herbert Lawford,"7–5, 6–2, 4–6, 7–5"
1884,U.S. National Championships,Richard D. Sears,Howard A. Taylor,"6–0, 1–6, 6–0, 6–2"
1884,Wimbledon Championships,William Renshaw,Herbert Lawford,"6–0, 6–4, 9–7"
1883,U.S. National Championships,Richard D. Sears,James Dwight,"6–2, 6–0, 9–7"
1883,Wimbledon Championships,William Renshaw,Ernest Renshaw,"2–6, 6–3, 6–3, 4–6, 6–3"
1882,U.S. National Championships,Richard D. Sears,Clarence M. Clark,"6–1, 6–4, 6–0"
1882,Wimbledon Championships,William Renshaw,Ernest Renshaw,"6–1, 2–6, 4–6, 6–2, 6–2"
1881,U.S. National Championships,Richard D. Sears,William E. Glyn,"6–0, 6–3, 6–2"
1881,Wimbledon Championships,William Renshaw,John Hartley,"6–0, 6–1, 6–1"
1880,Wimbledon Championships,John Hartley,Herbert Lawford,"6–3, 6–2, 2–6, 6–3"
1879,Wimbledon Championships,John Hartley,V. St. Leger Gould,"6–2, 6–4, 6–2"
1878,Wimbledon Championships,Frank Hadow,Spencer Gore,"7–5, 6–1, 9–7"
1877,Wimbledon Championships,Spencer Gore,William Marshall,"6–1, 6–2, 6–4"
