Year,Tournament,Winner,Runnerup,Score
2021,Australian Open,Novak Djokovic,Daniil Medvedev,"7–5, 6–2, 6–2"
2020,French Open,Rafael Nadal,Novak Djokovic,"6–0, 6–2, 7–5"
2020,US Open,Dominic Thiem,Alexander Zverev,"2–6, 4–6, 6–4, 6–3, 7–6(8–6)"
2020,Australian Open,Novak Djokovic,Dominic Thiem,"6–4, 4–6, 2–6, 6–3, 6–4"
2019,US Open,Rafael Nadal,Daniil Medvedev,"7–5, 6–3, 5–7, 4–6, 6–4"
2019,Wimbledon,Novak Djokovic,Roger Federer,"7–6(7–5), 1–6, 7–6(7–4), 4–6, 13–12(7–3)"
2019,French Open,Rafael Nadal,Dominic Thiem,"6–3, 5–7, 6–1, 6–1"
2019,Australian Open,Novak Djokovic,Rafael Nadal,"6–3, 6–2, 6–3"
2018,US Open,Novak Djokovic,Juan Martín del Potro,"6–3, 7–6(7–5), 6–4"
2018,Wimbledon,Novak Djokovic,Kevin Anderson,"6–2, 6–2, 7–6(7–3)"
2018,French Open,Rafael Nadal,Dominic Thiem,"6–4, 6–3, 6–2"
2018,Australian Open,Roger Federer,Marin Čilić,"6–2, 6–7(4–7), 6–3, 3–6, 6–1"
2017,US Open,Rafael Nadal,Kevin Anderson,"6–3, 6–3, 6–4"
2017,Wimbledon,Roger Federer,Marin Čilić,"6–3, 6–1, 6–4"
2017,French Open,Rafael Nadal,Stan Wawrinka,"6–2, 6–3, 6–1"
2017,Australian Open,Roger Federer,Rafael Nadal,"6–4, 3–6, 6–1, 3–6, 6–3"
2016,US Open,Stan Wawrinka,Novak Djokovic,"6–7(1–7), 6–4, 7–5, 6–3"
2016,Wimbledon,Andy Murray,Milos Raonic,"6–4, 7–6 (3), 7–6 (2)"
2016,French Open,Novak Djokovic,Andy Murray,"3–6, 6–1, 6–2, 6–4"
2016,Australian Open,Novak Djokovic,Andy Murray,"6–1, 7–5, 7–6 (3)"
2015,US Open,Novak Djokovic,Roger Federer,"6–4, 5–7, 6–4, 6–4"
